id,gacha_id,introduction_number,start_time,end_time,maximum_chunk_size_1,maximum_chunk_size_loop_1,maximum_chunk_size_2,maximum_chunk_size_loop_2,maximum_chunk_size_3,maximum_chunk_size_loop_3
36,30037,1,"2019/10/01 16:00:00","2019/10/15 15:59:59",380000,380000,0,0,0,0
37,30038,1,"2019/10/15 16:00:00","2019/10/18 15:59:59",380000,380000,0,0,0,0
38,30039,1,"2019/10/18 16:00:00","2019/11/01 15:59:59",380000,380000,0,0,0,0
39,30040,1,"2019/11/01 16:00:00","2019/11/15 15:59:59",380000,380000,0,0,0,0
40,30041,1,"2019/11/15 16:00:00","2019/11/19 15:59:59",380000,380000,0,0,0,0
41,30042,1,"2019/11/19 16:00:00","2019/12/02 15:59:59",380000,380000,0,0,0,0
42,30043,1,"2019/12/02 16:00:00","2019/12/13 15:59:59",380000,380000,0,0,0,0
43,30044,1,"2019/12/13 16:00:00","2019/12/16 15:59:59",380000,380000,0,0,0,0
45,30046,1,"2019/12/30 16:00:00","2020/01/02 15:59:59",380000,380000,0,0,0,0
46,30047,1,"2020/01/02 16:00:00","2020/01/10 15:59:59",380000,380000,0,0,0,0
47,30048,1,"2020/01/10 16:00:00","2020/01/21 15:59:59",380000,380000,0,0,0,0
48,50049,2,"2020/01/21 16:00:00","2020/01/28 15:59:59",380000,0,380000,380000,0,0
49,30050,1,"2020/01/28 16:00:00","2020/02/04 15:59:59",380000,380000,0,0,0,0
51,30052,1,"2020/02/04 16:00:00","2020/02/14 15:59:59",380000,380000,0,0,0,0
52,30053,1,"2020/02/14 16:00:00","2020/02/19 15:59:59",380000,380000,0,0,0,0
53,30054,1,"2020/02/19 16:00:00","2020/03/04 15:59:59",380000,380000,0,0,0,0
54,30055,1,"2020/03/04 16:00:00","2020/03/13 15:59:59",380000,380000,0,0,0,0
55,30056,1,"2020/03/13 16:00:00","2020/03/19 15:59:59",380000,380000,0,0,0,0
56,30057,1,"2020/03/19 16:00:00","2020/04/01 15:59:59",380000,380000,0,0,0,0
57,30058,1,"2020/04/01 16:00:00","2020/04/14 15:59:59",380000,380000,0,0,0,0
58,30059,1,"2020/04/14 16:00:00","2020/04/22 15:59:59",380000,380000,0,0,0,0
59,30060,1,"2020/04/22 16:00:00","2020/05/05 15:59:59",380000,380000,0,0,0,0
60,50061,2,"2020/05/05 16:00:00","2020/05/08 15:59:59",380000,0,380000,380000,0,0
61,30063,1,"2020/05/15 16:00:00","2020/05/22 15:59:59",380000,380000,0,0,0,0
62,30064,1,"2020/05/22 16:00:00","2020/06/03 15:59:59",380000,380000,0,0,0,0
63,30065,1,"2020/06/03 16:00:00","2020/06/15 15:59:59",380000,380000,0,0,0,0
64,30066,1,"2020/06/15 16:00:00","2020/06/22 15:59:59",380000,380000,0,0,0,0
65,50067,2,"2020/06/22 16:00:00","2020/07/02 15:59:59",380000,0,380000,380000,0,0
66,30068,1,"2020/08/03 16:00:00","2020/08/06 15:59:59",380000,380000,0,0,0,0
67,30069,1,"2020/09/30 16:00:00","2020/10/13 15:59:59",380000,380000,0,0,0,0
68,30070,1,"2020/10/13 16:00:00","2020/10/26 15:59:59",380000,380000,0,0,0,0
69,30071,1,"2020/08/17 16:00:00","2020/08/21 15:59:59",380000,380000,0,0,0,0
70,30072,1,"2020/07/02 16:00:00","2020/07/13 15:59:59",380000,380000,0,0,0,0
71,30073,1,"2020/07/13 16:00:00","2020/07/20 15:59:59",380000,380000,0,0,0,0
72,30074,1,"2020/07/20 16:00:00","2020/07/30 15:59:59",380000,380000,0,0,0,0
73,30075,1,"2020/07/30 16:00:00","2020/08/03 15:59:59",380000,380000,0,0,0,0
74,30076,1,"2020/08/06 16:00:00","2020/08/17 15:59:59",380000,380000,0,0,0,0
75,30077,1,"2020/09/11 16:00:00","2020/09/16 15:59:59",380000,380000,0,0,0,0
76,30078,1,"2020/08/21 16:00:00","2020/09/01 11:59:59",380000,380000,0,0,0,0
77,50079,2,"2020/09/01 16:00:00","2020/09/04 15:59:59",380000,0,380000,380000,0,0
78,30080,1,"2020/09/04 16:00:00","2020/09/11 15:59:59",380000,380000,0,0,0,0
79,30081,1,"2020/10/26 16:00:00","2020/11/02 15:59:59",380000,380000,0,0,0,0
80,30082,1,"2020/09/16 16:00:00","2020/09/24 15:59:59",380000,380000,0,0,0,0
81,30083,1,"2020/09/24 16:00:00","2020/09/30 15:59:59",380000,380000,0,0,0,0
