action_id,class_id,action_type,action_detail_1,action_detail_2,action_detail_3,action_value_1,action_value_2,action_value_3,action_value_4,action_value_5,action_value_6,action_value_7,target_assignment,target_area,target_range,target_type,target_number,target_count,description,level_up_disp
100351101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理攻擊力","物理攻擊力提升+{0}"
100351102,1,90,1,0,0,1.0,1125.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的最大HP",""
100400101,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2160,3,1,1,"",""
100400102,1,1,1,0,0,20.4,20.4,1.62,0.0,0.0,0.0,0.0,1,2,300,1,0,99,"對範圍內的敵人造成{0}的物理傷害","物理傷害+{0}"
100400201,1,1,1,0,0,8.0,8.0,0.6,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"對敵方單體造成{0}的物理傷害","物理傷害+{0}"
100400202,1,12,70,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"使一名敵人陷入黑暗狀態","造成黑暗的成功Lv+1"
100400301,1,1,1,0,0,10.0,10.0,0.8,0.0,0.0,0.0,0.0,1,2,2160,14,0,1,"對敵方單體造成{0}的物理傷害","物理傷害+{0}"
100400302,1,10,11,1,0,1.0,3.75,3.75,99.0,0.0,0.0,1.0,1,2,2160,1,0,1,"降低敵方單體{0}的物理攻擊力","物理攻擊力降低+{0}"
100400303,1,10,10,1,0,1.0,5.5,5.5,99.0,0.0,0.0,1.0,2,1,0,7,0,1,"提升自身{0}的物理攻擊力","物理攻擊力提升+{0}"
100401201,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"對敵方單體造成{0}的物理傷害","物理傷害+{0}"
100401202,1,12,80,0,0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"使一名敵人陷入黑暗狀態","造成黑暗的成功Lv+1"
100401203,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"",""
100401204,1,10,11,1,0,1.0,5.0,5.0,180.0,0.0,0.0,0.0,1,2,200,1,0,99,"使範圍內敵人的物理攻擊力降低{0}","物理攻擊力降低+{0}"
100450101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理防禦力","物理防禦力提升+{0}"
100451101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理防禦力","物理防禦力提升+{0}"
100451102,1,90,2,0,0,1.0,225.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理攻擊力",""
100500101,1,2,3,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2160,3,2,1,"",""
100500102,1,7,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2160,3,2,1,"",""
100500103,1,1,1,0,0,30.0,30.0,2.4,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"對範圍內的敵人造成{0}的物理傷害","物理傷害+{0}"
100500201,1,1,1,0,0,3.4,3.4,0.27,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"對範圍內的敵人造成{0}的物理傷害","物理傷害+{0}"
100500202,1,8,7,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"使範圍內的敵人一段時間內無法行動","造成暈眩的成功Lv+1"
100500301,1,1,1,0,0,10.0,10.0,0.8,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"對範圍內的敵人造成{0}的物理傷害","物理傷害+{0}"
100501201,1,1,1,0,0,3.4,3.4,0.54,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"對範圍內的敵人造成{0}的物理傷害","物理傷害+{0}"
100501202,1,8,7,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"使範圍內的敵人一段時間內無法行動","造成暈眩的成功Lv+1"
100501203,1,10,20,1,0,1.0,2.24,2.24,12.0,0.0,0.0,0.0,2,1,0,7,0,1,"提升自身{0}的物理防禦力","物理防禦力提升+{0}"
100501204,1,10,40,1,0,1.0,2.24,2.24,12.0,0.0,0.0,0.0,2,1,0,7,0,1,"提升自身{0}的魔法防禦力","魔法防禦力提升+{0}"
100550101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理攻擊力","物理攻擊力提升+{0}"
100551101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理攻擊力","物理攻擊力提升+{0}"
100551102,1,90,3,0,0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理防禦力",""
100600101,1,32,0,0,0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,2,3,2160,3,0,99,"",""
100600102,1,10,30,1,0,1.0,4.5,4.5,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"提升我方全體{0}的魔法攻擊力","魔法攻擊力提升+{0}"
100600201,1,1,2,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
100600301,1,10,41,1,0,1.0,1.0,1.0,12.0,0.0,0.0,1.0,1,1,-1,3,0,1,"降低敵方單體{0}的魔法防禦力","魔法防禦力降低+{0}"
100601201,1,1,2,0,0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
100601202,1,10,41,1,0,1.0,0.2,0.2,12.0,0.0,0.0,1.0,1,1,-1,3,0,1,"降低敵方單體{0}的魔法防禦力","魔法防禦力降低+{0}"
100610101,1,1,2,0,0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
100610201,1,1,2,0,0,15.0,15.0,1.25,0.0,0.0,0.0,0.0,1,1,550,3,0,99,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
100650101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的魔法攻擊力","魔法攻擊力提升+{0}"
100651101,1,90,4,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的魔法攻擊力","魔法攻擊力提升+{0}"
100700101,1,1,1,0,0,45.0,45.0,3.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"對敵方單體造成{0}的物理傷害","物理傷害+{0}"
100700102,1,4,1,0,0,1.0,12.0,12.0,1.0,0.0,0.0,0.0,2,3,0,7,0,1,"回復自身{0}的HP","HP回復量+{0}"
100700201,1,21,1,0,0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"一段時間內成為無敵狀態","無敵時間+0.01秒"
100700202,1,18,1,100700203,0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0,0,0,7,0,1,"",""
100700203,1,21,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"",""
100700301,1,4,1,0,0,1.0,7.5,7.5,1.0,0.0,0.0,0.0,2,1,0,7,0,1,"回復自身{0}的HP","HP回復量+{0}"
100701201,1,21,1,0,0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"一段時間內成為無敵狀態","無敵時間+0.01秒"
100701202,1,18,1,100701203,0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0,0,0,7,0,1,"",""
100701203,1,21,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"",""
100701204,1,10,50,1,0,1.0,0.1,0.1,12.0,0.0,0.0,1.0,2,2,0,7,0,1,"使自己的迴避提高{0}  ","迴避上升+{0}"
100701205,1,10,20,1,0,1.0,1.2,1.2,12.0,0.0,0.0,1.0,2,2,0,7,0,1,"提升自身{0}的物理防禦力","物理防禦力提升+{0}"
100750101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理防禦力","物理防禦力提升+{0}"
100751101,1,90,3,0,0,1.0,32.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理防禦力","物理防禦力提升+{0}"
100800101,1,1,2,0,0,4.5,4.5,0.405,0.0,0.0,0.0,0.0,1,1,2160,3,0,99,"對敵方全體造成{0}的魔法傷害","魔法傷害+{0}"
100800102,1,10,21,1,0,1.0,0.345,0.345,18.0,0.0,0.0,1.0,1,1,2160,3,0,99,"降低敵方全體{0}的物理防禦力","物理防禦力降低+{0}"
100800201,1,1,2,0,0,15.0,15.0,1.2,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
100800202,1,12,40,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,1,0,1,"使一名敵人陷入黑暗狀態","造成黑暗的成功Lv+1"
100800301,1,16,1,0,0,75.0,2.5,0.0,0.0,0.0,0.0,0.0,2,1,2160,12,0,1,"回復我方單體{0}的TP","TP回復量+{0}"
100801201,1,1,2,0,0,15.0,15.0,1.2,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
100801202,1,12,40,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"使一名敵人陷入黑暗狀態","造成黑暗的成功Lv+1"
100801203,1,11,0,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"誘惑敵單體","造成魅惑的成功Lv+1"
100850101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的魔法攻擊力","魔法攻擊力提升+{0}"
100851101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的魔法攻擊力","魔法攻擊力提升+{0}"
100851102,1,90,3,0,0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理防禦力",""
100900101,1,1,2,0,0,18.0,18.0,1.44,0.0,0.0,0.0,0.0,1,3,2160,3,0,99,"對敵方全體造成{0}的魔法傷害","魔法傷害+{0}"
100900102,1,10,21,1,0,2.0,100.0,0.0,99.0,0.0,0.0,2.0,2,1,0,7,0,1,"將自身的物理防禦力降為0",""
100900103,1,10,41,1,0,2.0,100.0,0.0,99.0,0.0,0.0,2.0,2,1,0,7,0,1,"將自身的魔法防禦力降為0",""
100900201,1,1,2,0,0,20.0,20.0,1.2,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
100900301,1,17,3,0,0,100.0,0.0,10.0,0.0,1.0,0.0,0.0,2,3,0,7,0,1,"",""
100900302,1,1,2,0,0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,1,2,600,3,0,99,"對範圍內的敵人造成{0}的魔法傷害","魔法傷害+{0}"
100900303,1,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,7,0,1,"",""
100900304,1,21,1,0,0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,7,0,1,"",""
100901201,1,1,2,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
100901202,1,10,41,1,0,1.0,0.6,0.6,12.0,0.0,0.0,1.0,2,3,2160,3,0,99,"降低敵方單體{0}的魔法防禦力","魔法防禦力降低+{0}"
100950101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,"提升自身{0}的魔法攻擊力","魔法攻擊力提升+{0}"
100951101,1,90,4,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的魔法攻擊力","魔法攻擊力提升+{0}"
101000101,1,10,30,1,0,1.0,3.45,3.45,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"提升我方全體{0}的魔法攻擊力","魔法攻擊力提升+{0}"
101000102,1,10,20,1,0,1.0,0.45,0.45,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"提升我方全體{0}的物理防禦力","物理防禦力提升+{0}"
101000103,1,16,1,1,0,50.0,0.0,0.0,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"回復我方全體{0}的TP",""
101000201,1,4,2,0,0,1.0,7.5,7.5,1.0,0.0,0.0,0.0,2,2,2160,5,0,1,"回復我方單體{0}的HP","HP回復量+{0}"
101000301,1,12,40,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"使一名敵人陷入黑暗狀態","造成黑暗的成功Lv+1"
101001101,1,10,30,1,0,1.0,22.5,22.5,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"提升我方全體{0}的魔法攻擊力","魔法攻擊力提升+{0}"
101001102,1,10,20,1,0,1.0,0.9,0.9,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"提升我方全體{0}的物理防禦力","物理防禦力提升+{0}"
101001103,1,16,1,1,0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,2160,3,0,99,"回復我方全體{0}的TP",""
101001104,1,48,1,2,0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,2,3,2160,3,0,99,"每秒恢復 10 TP",""
101001201,1,4,2,0,0,1.0,8.5,8.5,1.2,0.0,0.0,0.0,2,3,2160,5,0,1,"回復我方單體{0}的HP","HP回復量+{0}"
101001202,1,10,20,1,0,1.0,1.0,1.0,12.0,0.0,0.0,1.0,2,3,2160,5,0,1,"讓一名夥伴的物理防禦力提升{0}","物理防禦力提升+{0}"
101001203,1,48,2,1,0,0.5,0.5,0.08,0.0,8.5,0.0,0.0,2,2,2160,5,0,1,"每秒回復{0}的HP","回復量+{0}"
101050101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理防禦力","物理防禦力提升+{0}"
101051101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理防禦力","物理防禦力提升+{0}"
101051102,1,90,4,0,0,1.0,225.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的魔法攻擊力",""
101100101,1,1,1,0,0,20.4,20.4,1.62,0.0,0.0,0.0,1.0,1,1,1150,3,0,99,"對範圍內的敵人造成{0}的物理傷害","物理傷害+{0}"
101100201,1,10,60,1,0,1.0,45.0,0.0,99.0,0.0,0.0,1.0,2,1,0,7,0,1,"自身物理暴擊提升{0}",""
101100202,1,10,10,1,0,1.0,15.0,15.0,12.0,0.0,0.0,1.0,2,1,0,7,0,1,"提升自身{0}的物理攻擊力","物理攻擊力+{0}"
101100301,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,1.0,1,1,-1,3,0,1,"對敵方單體造成{0}的物理傷害","物理傷害+{0}"
101101101,1,1,1,0,0,28.0,28.0,2.16,0.0,0.0,1.75,1.0,1,1,1300,3,0,99,"對範圍內的敵人造成{0}的物理傷害","物理傷害+{0}"
101101201,1,10,60,1,0,1.0,75.0,0.0,99.0,0.0,0.0,1.0,2,1,0,7,0,1,"自身物理暴擊提升{0}",""
101101202,1,10,10,1,0,1.0,20.0,20.0,12.0,0.0,0.0,1.0,2,1,0,7,0,1,"提升自身{0}的物理攻擊力","物理攻擊力+{0}"
101101203,1,8,2,0,0,1.8,0.0,12.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"自己的行動速度上升",""
101150101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理攻擊力","物理攻擊力提升+{0}"
101151101,1,90,2,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的物理攻擊力","物理攻擊力提升+{0}"
101200101,1,1,2,0,0,6.75,6.75,0.54,0.0,0.0,0.0,0.0,1,1,2160,20,0,99,"對使用物理攻擊的敵人追加{0}的魔法傷害","追加魔法傷害+{0}"
101200102,1,1,2,0,0,9.0,9.0,0.81,0.0,0.0,0.0,0.0,1,1,2160,3,0,99,"對敵方全體造成{0}的魔法傷害","全體魔法傷害+{0}"
101200201,1,1,2,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,2160,14,0,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
101200301,1,1,2,0,0,10.0,10.0,0.8,0.0,0.0,0.0,0.0,1,1,2160,14,0,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
101200302,1,8,7,0,0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1,1,2160,14,0,1,"使敵方單體一段時間內無法行動","造成暈眩的成功Lv+1"
101201101,1,1,2,0,0,9.0,9.0,2.4,0.0,0.0,0.0,0.0,1,2,2160,20,0,99,"對使用物理攻擊的敵人追加{0}的魔法傷害","追加魔法傷害+{0}"
101201102,1,10,41,1,0,1.0,0.54,0.54,18.0,0.0,0.0,0.0,1,2,2160,20,0,99,"對進行物理攻擊的敵人降低{0}魔法防禦力","魔法防禦力降低+{0}"
101201103,1,8,7,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1,2,2160,20,0,99,"令使用物理攻擊的敵人在一定時間內無法行動","造成暈眩的成功Lv+1"
101201104,1,1,2,0,0,9.0,9.0,0.81,0.0,0.0,0.0,0.0,1,2,2160,3,0,99,"對敵方全體造成{0}的魔法傷害","全體魔法傷害+{0}"
101201201,1,1,2,0,0,22.0,22.0,1.8,0.0,0.0,0.0,0.0,1,1,2160,14,0,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
101201202,1,10,41,1,0,1.0,0.2,0.2,12.0,0.0,0.0,1.0,1,1,2160,14,0,1,"降低敵方單體{0}的魔法防禦力","魔法防禦力降低+{0}"
101250101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的魔法攻擊力","魔法攻擊力提升+{0}"
101251101,1,90,4,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的魔法攻擊力","魔法攻擊力提升+{0}"
101300101,1,1,2,0,0,60.0,60.0,5.6,0.0,0.0,0.0,0.0,1,2,2160,6,0,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
101300201,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2160,3,0,1,"",""
101300202,1,10,41,0,0,1.0,0.48,0.48,12.0,0.0,0.0,0.0,1,2,200,3,0,99,"使範圍內敵人的魔法防禦力下降{0}","魔法防禦力降低+{0}"
101300301,1,1,2,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,2,2160,6,0,1,"對敵方單體造成{0}的魔法傷害","魔法傷害+{0}"
101300302,1,8,7,0,0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1,2,2160,6,0,1,"使敵方單體一段時間內無法行動","造成暈眩的成功Lv+1"
101301201,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2160,3,0,1,"",""
101301202,1,10,41,0,0,1.0,0.8,0.8,12.0,0.0,0.0,0.0,1,2,200,3,0,99,"使範圍內敵人的魔法防禦力下降{0}","魔法防禦力降低+{0}"
101350101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的魔法攻擊力","魔法攻擊力提升+{0}"
101351101,1,90,4,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提升自身{0}的魔法攻擊力","魔法攻擊力提升+{0}"
101400101,1,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2160,3,2,1,"",""
101400102,1,38,41,1,3,2.4,2.4,16.0,0.0,300.0,0.0,0.0,1,2,2160,3,2,1,"使領域中敵人降低{0}的魔法防禦力","魔法防禦力降低+{0}"
101400103,1,38,81,1,0,10.0,0.0,16.0,0.0,300.0,0.0,0.0,1,2,2160,3,2,1,"使領域中敵人降低{0}的 TP 上升",""
101400104,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2160,3,2,1,"",""
101400105,1,8,1,0,0,0.9,0.0,16.0,0.0,0.0,0.0,0.0,1,2,300,1,0,99,"範圍內的敵人行動速度在一定時間下降","造成行動速度降低的成功Lv+1"
101400201,1,1,2,0,0,3.4,3.4,0.27,0.0,0.0,0.0,0.0,1,1,800,3,0,99,"對範圍內的敵人造成{0}的魔法傷害","魔法傷害+{0}"
101400202,1,8,5,0,0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1,1,800,3,0,99,"使範圍內的敵人一段時間內無法行動","束縛確定成功Ｌｖ+1"
