rail_id,gimmick_1_id,gimmick_1_x,gimmick_2_id,gimmick_2_x,gimmick_3_id,gimmick_3_x,gimmick_4_id,gimmick_4_x,gimmick_5_id,gimmick_5_x,gimmick_6_id,gimmick_6_x,gimmick_7_id,gimmick_7_x,gimmick_8_id,gimmick_8_x,gimmick_9_id,gimmick_9_x,gimmick_10_id,gimmick_10_x
701,AccelBoardA,600,EnemyB,1400,AccelBoardA,2300,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
702,EnemyA,800,TrapA,1200,TrapA,1800,AccelBoardA,2500,SpeedTerritoryA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
703,EnemyB,1280,AccelBoardA,1900,AccelBoardA,2300,AccelBoardA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
704,EnemyB,900,AccelBoardA,1300,AccelBoardA,2000,AccelBoardA,2700,AccelBoardA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
801,SpeedTerritoryA,900,AccelBoardA,1400,TrapA,2100,EnemyA,2600,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
802,EnemyA,500,TrapA,1000,SpeedTerritoryA,1700,WarpGateA,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
803,AccelBoardA,500,EnemyA,1100,AccelBoardA,1500,EnemyA,2200,TrapA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
804,SpeedTerritoryA,600,AccelBoardA,1400,EnemyA,2300,TrapA,2700,AccelBoardA,3200,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
901,EnemyB,1280,AccelBoardA,1900,AccelBoardA,2300,AccelBoardA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
902,EnemyB,900,AccelBoardA,1300,AccelBoardA,2000,AccelBoardA,2700,AccelBoardA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
903,EnemyA,500,AccelBoardA,1000,TrapA,2000,AccelBoardA,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
904,EnemyA,550,AccelBoardA,1600,TrapA,2500,TrapA,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1001,EnemyA,500,TrapA,1200,AccelBoardA,1800,JumpOverTrap,2600,JumpOverTrap,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1002,JumpOverTrap,700,AccelBoardA,1500,EnemyB,2300,JumpOverTrap,3000,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1003,JumpOverTrap,800,EnemyA,1300,JumpOverTrap,1900,SpeedTerritoryA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1004,EnemyA,700,TrapA,1300,TrapA,1800,JumpOverTrap,2500,AccelBoardA,3000,TrapA,3700,NONE,0,NONE,0,NONE,0,NONE,0
1101,EnemyA,700,TrapA,1300,TrapA,1800,JumpOverTrap,2500,AccelBoardA,3000,TrapA,3700,NONE,0,NONE,0,NONE,0,NONE,0
1102,AccelBoardA,500,EnemyA,1300,JumpOverTrap,1800,EnemyA,2400,JumpOverTrap,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1103,EnemyA,500,TrapA,1000,SpeedTerritoryA,1700,WarpGateA,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1104,JumpOverTrap,700,AccelBoardA,1500,EnemyB,2300,JumpOverTrap,3000,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1201,EnemyA,500,TrapA,1200,AccelBoardA,1800,JumpOverTrap,2600,JumpOverTrap,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1202,EnemyB,900,AccelBoardA,1300,AccelBoardA,2000,AccelBoardA,2700,AccelBoardA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1203,EnemyB,1280,AccelBoardA,1900,AccelBoardA,2300,AccelBoardA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1204,AccelBoardA,1500,WarpGateA,2400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1301,JumpOverTrap,700,AccelBoardA,1500,EnemyB,2300,JumpOverTrap,3000,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1302,SpeedTerritoryA,900,AccelBoardA,1400,TrapA,2100,EnemyA,2600,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1303,AccelBoardA,500,EnemyA,1100,AccelBoardA,1500,EnemyA,2200,TrapA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1304,EnemyA,800,TrapA,1200,TrapA,1800,AccelBoardA,2500,SpeedTerritoryA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1401,JumpOverTrap,800,EnemyA,1300,JumpOverTrap,1900,SpeedTerritoryA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1402,TrapA,500,TrapA,1200,TrapA,2000,EnemyA,2500,AccelBoardA,3000,TrapA,3800,NONE,0,NONE,0,NONE,0,NONE,0
1403,EnemyA,550,AccelBoardA,1600,TrapA,2500,TrapA,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1404,EnemyA,700,TrapA,1300,TrapA,1800,JumpOverTrap,2500,AccelBoardA,3000,TrapA,3700,NONE,0,NONE,0,NONE,0,NONE,0
1501,JumpOverTrap,700,AccelBoardA,1500,EnemyB,2300,JumpOverTrap,3000,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1502,EnemyA,500,TrapA,1200,AccelBoardA,1800,JumpOverTrap,2600,JumpOverTrap,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1503,EnemyA,500,AccelBoardA,1000,TrapA,2000,AccelBoardA,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1504,TrapA,700,AccelBoardA,1400,EnemyA,2200,SpeedTerritoryA,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1601,JumpOverTrap,600,JumpOverTrap,1200,JumpOverTrap,1800,JumpOverTrap,2400,JumpOverTrap,3000,JumpOverTrap,3600,NONE,0,NONE,0,NONE,0,NONE,0
1602,JumpOverTrap,600,JumpOverTrap,1200,JumpOverTrap,1800,TrapA,2400,TrapA,3000,TrapA,3600,NONE,0,NONE,0,NONE,0,NONE,0
1603,JumpOverTrap,600,JumpOverTrap,1200,JumpOverTrap,1800,JumpOverTrap,2400,JumpOverTrap,3000,TrapA,3600,NONE,0,NONE,0,NONE,0,NONE,0
1604,JumpOverTrap,600,JumpOverTrap,1200,JumpOverTrap,1800,JumpOverTrap,2400,TrapA,3000,TrapA,3600,NONE,0,NONE,0,NONE,0,NONE,0
1701,WholeCake,500,AccelBoardA,1500,AccelBoardA,2000,TrapA,2500,TrapA,2800,SpeedTerritoryA,3500,NONE,0,NONE,0,NONE,0,NONE,0
1702,EnemyA,500,AccelBoardA,800,SpeedTerritoryA,1300,WholeCake,2000,AccelBoardA,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1703,TrapA,500,JumpOverTrap,1000,JumpOverEnemy,2000,JumpOverEnemy,2500,JumpOverEnemy,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1704,EnemyA,400,SpeedTerritoryA,900,WholeCake,1500,JumpOverTrap,2400,EnemyA,2800,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0
1801,JumpBoard,700,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1802,AccelBoardA,400,AccelBoardA,900,AccelBoardA,1300,EnemyB,2000,JumpBoard,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1803,EnemyB,400,AccelBoardA,800,WholeCake,1500,JumpBoard,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1804,EnemyA,500,TrapA,1000,JumpOverEnemy,1500,WholeCake,2000,TrapA,3000,TrapA,3500,NONE,0,NONE,0,NONE,0,NONE,0
1901,AccelBoardA,400,JumpBoard,900,TrapA,1900,TrapA,2300,TrapA,2700,EnemyA,3100,EnemyA,3500,NONE,0,NONE,0,NONE,0
1902,WholeCake,400,SpeedTerritoryA,1400,TrapA,1800,JumpOverEnemy,2200,JumpOverTrap,2600,AccelBoardA,3000,JumpOverEnemy,3500,NONE,0,NONE,0,NONE,0
1903,AccelBoardA,500,EnemyA,1400,JumpBoard,2300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1904,WholeCake,1000,AccelBoardA,2200,EnemyB,2700,AccelBoardA,3000,AccelBoardA,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2001,AccelBoardA,400,EnemyB,1200,WholeCake,1600,AccelBoardA,2500,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2002,AccelBoardA,500,JumpBoard,1100,EnemyA,2300,AccelBoardA,2700,JumpOverTrap,3400,EnemyA,3700,NONE,0,NONE,0,NONE,0,NONE,0
2003,EnemyB,500,EnemyA,1000,JumpOverEnemy,1400,JumpOverEnemy,1800,WarpGateA,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2004,WholeCake,1000,AccelBoardA,2000,JumpOverTrap,2500,TrapA,3000,TrapA,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2101,WholeCake,500,AccelBoardA,1500,AccelBoardA,2000,TrapA,2500,TrapA,2800,SpeedTerritoryA,3500,NONE,0,NONE,0,NONE,0,NONE,0
2102,JumpBoard,700,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2103,AccelBoardA,400,EnemyB,1200,WholeCake,1600,AccelBoardA,2500,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2104,AccelBoardA,400,JumpBoard,900,TrapA,1900,TrapA,2300,TrapA,2700,EnemyA,3100,EnemyA,3500,NONE,0,NONE,0,NONE,0
2201,AccelBoardA,400,AccelBoardA,900,AccelBoardA,1300,EnemyB,2000,JumpBoard,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2202,AccelBoardA,500,JumpBoard,1100,EnemyA,2300,AccelBoardA,2700,JumpOverTrap,3400,EnemyA,3700,NONE,0,NONE,0,NONE,0,NONE,0
2203,JumpBoard,700,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2204,AccelBoardA,400,EnemyB,1200,WholeCake,1600,AccelBoardA,2500,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2301,JumpBoard,700,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2302,EnemyB,400,AccelBoardA,800,WholeCake,1500,JumpBoard,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2303,EnemyA,500,TrapA,1000,JumpOverEnemy,1500,WholeCake,2000,TrapA,3000,TrapA,3500,NONE,0,NONE,0,NONE,0,NONE,0
2304,EnemyA,400,SpeedTerritoryA,900,WholeCake,1500,JumpOverTrap,2400,EnemyA,2800,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0
2401,AccelBoardA,400,EnemyB,1200,WholeCake,1600,AccelBoardA,2500,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2402,EnemyA,500,TrapA,1000,JumpOverEnemy,1500,WholeCake,2000,TrapA,3000,TrapA,3500,NONE,0,NONE,0,NONE,0,NONE,0
2403,AccelBoardA,400,JumpBoard,900,TrapA,1900,TrapA,2300,TrapA,2700,EnemyA,3100,EnemyA,3500,NONE,0,NONE,0,NONE,0
2404,AccelBoardA,500,EnemyA,1400,JumpBoard,2300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2501,EnemyA,500,AccelBoardA,800,SpeedTerritoryA,1300,WholeCake,2000,AccelBoardA,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2502,AccelBoardA,400,EnemyB,1200,WholeCake,1600,AccelBoardA,2500,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2503,AccelBoardA,400,JumpBoard,900,TrapA,1900,TrapA,2300,TrapA,2700,EnemyA,3100,EnemyA,3500,NONE,0,NONE,0,NONE,0
2504,WholeCake,1000,AccelBoardA,2200,EnemyB,2700,AccelBoardA,3000,AccelBoardA,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2601,EnemyB,400,AccelBoardA,800,WholeCake,1500,JumpBoard,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2602,AccelBoardA,400,EnemyB,1200,WholeCake,1600,AccelBoardA,2500,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2603,AccelBoardA,400,JumpBoard,900,TrapA,1900,TrapA,2300,TrapA,2700,EnemyA,3100,EnemyA,3500,NONE,0,NONE,0,NONE,0
2604,AccelBoardA,500,EnemyA,1400,JumpBoard,2300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2701,TrapA,500,TrapA,900,AccelBoardA,1300,WholeCake,1800,JumpOverEnemy,2700,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0
2702,AccelBoardA,400,AccelBoardA,900,AccelBoardA,1300,EnemyB,2000,JumpBoard,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2703,EnemyA,500,AccelBoardA,800,SpeedTerritoryA,1300,WholeCake,2000,AccelBoardA,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2704,AccelBoardA,400,EnemyB,1200,WholeCake,1600,AccelBoardA,2500,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2801,AccelBoardA,400,EnemyB,1200,WholeCake,1600,AccelBoardA,2500,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2802,AccelBoardA,400,JumpBoard,900,TrapA,1900,TrapA,2300,TrapA,2700,EnemyA,3100,EnemyA,3500,NONE,0,NONE,0,NONE,0
2803,EnemyB,500,EnemyA,1000,JumpOverEnemy,1400,JumpOverEnemy,1800,WarpGateA,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2804,EnemyA,600,AccelBoardA,1000,EnemyA,1800,SpeedTerritoryA,2500,JumpOverTrap,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2901,AccelBoardA,500,SpeedTerritoryA,1200,TrapA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
2902,WholeCake,500,AccelBoardA,1500,AccelBoardA,2000,TrapA,2500,TrapA,2800,SpeedTerritoryA,3500,NONE,0,NONE,0,NONE,0,NONE,0
2903,AccelBoardA,500,JumpBoard,1100,EnemyA,2300,AccelBoardA,2700,JumpOverTrap,3400,EnemyA,3700,NONE,0,NONE,0,NONE,0,NONE,0
2904,EnemyA,550,AccelBoardA,1600,TrapA,2500,TrapA,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3001,JumpOverTrap,800,EnemyA,1300,JumpOverTrap,1900,SpeedTerritoryA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3002,EnemyA,400,SpeedTerritoryA,900,WholeCake,1500,JumpOverTrap,2400,EnemyA,2800,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0
3003,AccelBoardA,500,EnemyA,1400,JumpBoard,2300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3004,WholeCake,1000,AccelBoardA,2200,EnemyB,2700,AccelBoardA,3000,AccelBoardA,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3101,AccelBoardA,500,EnemyA,1100,AccelBoardA,1500,EnemyA,2200,TrapA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3102,EnemyA,800,TrapA,1200,TrapA,1800,AccelBoardA,2500,SpeedTerritoryA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3103,EnemyA,400,SpeedTerritoryA,900,WholeCake,1500,JumpOverTrap,2400,EnemyA,2800,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0
3104,JumpBoard,300,JumpOverEnemy,1500,SpeedTerritoryA,2000,AccelBoardA,2600,EnemyA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3201,TrapA,500,TrapA,900,AccelBoardA,1300,WholeCake,1800,JumpOverEnemy,2700,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0
3202,AccelBoardA,400,AccelBoardA,900,AccelBoardA,1300,EnemyB,2000,JumpBoard,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3203,AccelBoardA,1500,WarpGateA,2400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3204,AccelBoardA,600,EnemyB,1400,AccelBoardA,2300,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3301,TrapA,1000,TrapA,1500,AccelBoardA,2000,EnemyA,2800,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3302,WholeCake,400,SpeedTerritoryA,1400,TrapA,1800,JumpOverEnemy,2200,JumpOverTrap,2600,AccelBoardA,3000,JumpOverEnemy,3500,NONE,0,NONE,0,NONE,0
3303,JumpBoard,700,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3304,SpeedTerritoryA,600,AccelBoardA,1400,EnemyA,2300,TrapA,2700,AccelBoardA,3200,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3401,TrapA,700,AccelBoardA,1400,EnemyA,2200,SpeedTerritoryA,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3402,AccelBoardA,400,JumpBoard,900,TrapA,1900,TrapA,2300,TrapA,2700,EnemyA,3100,EnemyA,3500,NONE,0,NONE,0,NONE,0
3403,JumpBoard,300,JumpOverEnemy,1500,SpeedTerritoryA,2000,AccelBoardA,2600,EnemyA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3404,JumpBoard,400,SpeedTerritoryA,1400,JumpOverTrap,2200,EnemyB,3000,JumpOverTrap,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3501,EnemyA,500,TrapA,1000,SpeedTerritoryA,1700,WarpGateA,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3502,AccelBoardA,600,EnemyB,1400,AccelBoardA,2300,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3503,EnemyA,500,TrapA,1000,JumpOverEnemy,1500,WholeCake,2000,TrapA,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3504,AccelBoardA,400,JumpBoard,900,TrapA,1900,TrapA,2300,TrapA,2700,EnemyA,3100,EnemyA,3500,NONE,0,NONE,0,NONE,0
3601,JumpBoard,300,JumpBoard,1200,JumpBoard,2100,SpeedTerritoryA,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3602,JumpBoard,300,JumpBoard,1200,JumpBoard,2100,EnemyB,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3603,JumpBoard,300,JumpBoard,1200,JumpBoard,2100,EnemyA,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3604,JumpBoard,300,JumpBoard,1200,JumpBoard,2100,JumpOverEnemy,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3701,SpeedTerritoryA,1200,SpeedTerritoryA,2200,TrapA,2900,EnemyA,3200,AccelBoardA,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3702,EnemyB,900,AccelBoardA,1300,AccelBoardA,2000,AccelBoardA,2700,AccelBoardA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3703,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3704,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3801,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3802,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3803,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3804,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3901,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3902,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3903,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
3904,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4001,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4002,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4003,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4004,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4101,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4102,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4103,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4104,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4201,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4202,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4203,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4204,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4301,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4302,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4303,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4304,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
4401,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
