clan_battle_id,period,period_detail,period_detail_bg,period_detail_s,period_detail_bg_s,period_detail_bg_position,period_detail_boss_position_x,period_detail_boss_position_y,start_time,end_time,interval_start,interval_end,calc_start,result_start,result_end,limit_time,chest_id,quest_detail_rehearsal_label_height,min_carry_over_time,tw_open_new_banner
1017,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101172,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101172,0,0,0,"2019/12/23 05:00:00","2019/12/30 23:59:59",2019/12/31,"2020/01/23 04:59:59",2019/12/31,"2020/01/02 16:00:00","2020/01/23 04:59:59",90,40004,25,0,1
1018,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101192,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101192,0,0,0,"2020/01/23 05:00:00","2020/01/30 23:59:59",2020/01/31,"2020/02/24 04:59:59",2020/01/31,"2020/02/04 16:00:00","2020/02/24 04:59:59",90,40004,25,0,1
1019,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101202,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101202,0,0,0,"2020/02/24 05:00:00","2020/02/29 23:59:59",2020/03/01,"2020/03/25 04:59:59",2020/03/01,"2020/03/04 16:00:00","2020/03/25 04:59:59",90,40004,25,0,1
1020,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101292,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101292,0,0,0,"2020/03/25 05:00:00","2020/03/31 23:59:59",2020/04/01,"2020/04/24 04:59:59",2020/04/01,"2020/04/06 16:00:00","2020/04/24 04:59:59",90,40004,25,0,1
1021,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101302,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101302,0,0,0,"2020/04/24 05:00:00","2020/04/30 23:59:59",2020/05/01,"2020/05/25 04:59:59",2020/05/01,"2020/05/05 16:00:00","2020/05/25 04:59:59",90,40004,25,0,1
1022,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101441,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101441,0,0,0,"2020/05/25 05:00:00","2020/05/31 23:59:59",2020/06/01,"2020/06/24 04:59:59",2020/06/01,"2020/06/03 16:00:00","2020/06/24 04:59:59",90,40004,25,0,1
1023,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101452,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101452,0,0,0,"2020/06/24 05:00:00","2020/06/29 23:59:59",2020/06/30,"2020/07/25 04:59:59",2020/06/30,"2020/07/03 16:00:00","2020/07/25 04:59:59",90,40004,25,0,1
1024,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101562,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101562,0,0,0,"2020/07/25 05:00:00","2020/07/30 23:59:59",2020/07/31,"2020/08/25 04:59:59",2020/07/31,"2020/08/06 16:00:00","2020/08/25 04:59:59",90,40004,25,0,1
1025,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101011,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101011,0,0,0,"2020/08/25 05:00:00","2020/08/30 23:59:59",2020/08/31,"2020/09/25 04:59:59",2020/08/31,"2020/09/03 16:00:00","2020/09/25 04:59:59",90,40004,25,0,1
1026,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101021,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101021,0,0,0,"2020/09/25 05:00:00","2020/09/29 23:59:59",2020/09/30,"2020/10/26 04:59:59",2020/09/30,"2020/10/08 16:00:00","2020/10/26 04:59:59",90,40004,25,0,1
1027,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101042,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101042,0,0,0,"2020/10/26 05:00:00","2020/10/30 23:59:59",2020/10/31,"2020/11/26 04:59:59",2020/10/31,"2020/11/06 16:00:00","2020/11/26 04:59:59",90,40004,25,0,1
