event_id,teaser_time,start_time,end_time,close_time,background,sheet_id,que_id,banner_unit_id,count_start_time,backgroud_size_x,backgroud_size_y,backgroud_pos_x,backgroud_pos_y,original_event_id,series_event_id
10012,"2019/07/15 16:00:00","2019/07/17 16:00:00","2019/07/31 15:59:59","2019/08/03 15:59:59",500013,bgm_M206,bgm_M206,101401,"2019/07/28 15:59:59",1768,1060,60,50,0,0
10013,"2019/07/30 16:00:00","2019/08/01 16:00:00","2019/08/15 15:59:59","2019/08/19 15:59:59",500133,bgm_M215,bgm_M215,109301,"2019/08/12 15:59:59",1768,1060,60,50,0,0
10014,"2019/08/15 16:00:00","2019/08/16 16:00:00","2019/08/23 15:59:59","2019/08/26 15:59:59",500213,bgm_M32,bgm_M32,101201,"2019/08/20 15:59:59",1768,1060,60,50,10001,0
10015,"2019/08/30 16:00:00","2019/09/03 16:00:00","2019/09/15 15:59:59","2019/09/18 15:59:59",500650,bgm_M223,bgm_M223,109501,"2019/09/12 15:59:59",1768,1060,60,50,0,0
10016,"2019/09/15 16:00:00","2019/09/17 16:00:00","2019/09/24 15:59:59","2019/09/27 15:59:59",500193,bgm_M98,bgm_M98,103601,"2019/09/21 15:59:59",1768,1060,60,50,10002,0
10017,"2019/09/27 16:00:00","2019/10/01 16:00:00","2019/10/15 15:59:59","2019/10/18 15:59:59",500175,bgm_M228,bgm_M228,109701,"2019/10/12 15:59:59",1768,1060,60,50,0,0
10018,"2019/10/15 16:00:00","2019/10/17 16:00:00","2019/10/24 15:59:59","2019/10/27 15:59:59",500263,bgm_M106,bgm_M106,104401,"2019/10/21 15:59:59",1768,1060,60,50,10003,0
10019,"2019/10/30 16:00:00","2019/11/01 16:00:00","2019/11/15 15:59:59","2019/11/18 15:59:59",500683,bgm_M237,bgm_M237,110101,"2019/11/12 15:59:59",1600,1060,12,50,0,0
10020,"2019/11/15 16:00:00","2019/11/17 16:00:00","2019/11/24 15:59:59","2019/11/27 15:59:59",500164,bgm_M112,bgm_M112,107601,"2019/11/21 15:59:59",1768,1060,60,50,10004,0
10021,"2019/11/29 16:00:00","2019/12/02 16:00:00","2019/12/15 15:59:59","2019/12/17 15:59:59",500713,bgm_M245,bgm_M245_02,110501,"2019/12/12 15:59:59",1768,1060,60,50,0,0
10022,"2019/12/15 16:00:00","2019/12/17 16:00:00","2019/12/24 15:59:59","2019/12/26 15:59:59",500164,bgm_M121,bgm_M121,108001,"2019/12/21 15:59:59",1768,1060,60,50,10005,0
10023,"2019/12/31 16:00:00","2020/01/02 16:00:00","2020/01/16 15:59:59","2020/01/19 15:59:59",500731,bgm_M254,bgm_M254,110701,"2020/01/13 15:59:59",1800,1060,34,50,0,0
10024,"2020/01/14 16:00:00","2020/01/16 16:00:00","2020/01/23 15:59:59","2020/01/26 15:59:59",500096,bgm_M128,bgm_M128,104701,"2020/01/20 15:59:59",1768,1060,60,50,10006,0
10025,"2020/01/31 16:00:00","2020/02/04 16:00:00","2020/02/18 15:59:59","2020/02/21 15:59:59",505033,bgm_M265,bgm_M265_Top,111201,"2020/02/15 15:59:59",1768,1060,60,50,0,0
10026,"2020/02/14 16:00:00","2020/02/18 16:00:00","2020/02/25 15:59:59","2020/02/28 15:59:59",500264,bgm_M135,bgm_M135,108201,"2020/02/22 15:59:59",1768,1060,60,50,10007,0
10027,"2020/02/27 16:00:00","2020/03/02 16:00:00","2020/03/16 15:59:59","2020/03/19 15:59:59",500836,bgm_M273,bgm_M273,100501,"2020/03/13 15:59:59",1800,1060,60,50,0,0
10028,"2020/03/13 16:00:00","2020/03/16 16:00:00","2020/03/23 15:59:59","2020/03/26 15:59:59",500143,bgm_M162,bgm_M162,100901,"2020/03/20 15:59:59",1768,1060,60,50,10008,0
10029,"2020/03/30 16:00:00","2020/04/01 16:00:00","2020/04/15 15:59:59","2020/04/19 15:59:59",500880,bgm_M281,bgm_M281,111601,"2020/04/12 15:59:59",1768,1060,60,50,0,0
10030,"2020/04/13 16:00:00","2020/04/15 16:00:00","2020/04/22 15:59:59","2020/04/26 15:59:59",500114,bgm_M171,bgm_M171,108501,"2020/04/19 15:59:59",1768,1060,60,50,10009,0
10031,"2020/04/30 16:00:00","2020/05/05 16:00:00","2020/05/19 15:59:59","2020/05/22 15:59:59",500911,bgm_M294,bgm_M294,112101,"2020/05/16 15:59:59",1768,1060,60,50,0,0
10032,"2020/05/15 16:00:00","2020/05/19 16:00:00","2020/05/26 15:59:59","2020/05/29 15:59:59",500553,bgm_M182,bgm_M182,108901,"2020/05/23 15:59:59",1768,1060,60,50,10010,0
10033,"2020/06/01 16:00:00","2020/06/03 16:00:00","2020/06/17 15:59:59","2020/06/21 15:59:59",500016,bgm_M316,bgm_M316,112301,"2020/06/14 15:59:59",1768,1060,60,50,0,0
10034,"2020/06/15 16:00:00","2020/06/17 16:00:00","2020/06/24 15:59:59","2020/06/28 15:59:59",500600,bgm_M189,bgm_M189,109001,"2020/06/21 15:59:59",1768,1060,60,50,10011,0
10035,"2020/09/28 16:00:00","2020/09/30 16:00:00","2020/10/21 15:59:59","2020/10/26 15:59:59",500175,bgm_M330,bgm_M330,112401,"2020/10/18 15:59:59",1768,1060,60,50,0,0
10036,"2020/09/28 16:00:00","2020/10/12 16:00:00","2020/10/21 15:59:59","2020/10/26 15:59:59",500921,bgm_M341,bgm_M341,112401,"2020/10/18 15:59:59",1768,1060,60,50,0,10035
10037,"2020/08/14 16:00:00","2020/08/17 16:00:00","2020/08/24 15:59:59","2020/08/28 15:59:59",500013,bgm_M206,bgm_M206,101401,"2020/08/21 15:59:59",1768,1060,60,50,10012,0
10038,"2020/06/29 16:00:00","2020/07/02 16:00:00","2020/07/16 15:59:59","2020/07/19 15:59:59",500751,bgm_M343,bgm_M343,111001,"2020/07/13 15:59:59",1768,1060,60,50,0,0
10039,"2020/07/13 16:00:00","2020/07/16 16:00:00","2020/07/23 15:59:59","2020/07/26 15:59:59",500133,bgm_M215,bgm_M215,109301,"2020/07/20 15:59:59",1768,1060,60,50,10013,0
10040,"2020/07/31 16:00:00","2020/08/03 16:00:00","2020/08/17 15:59:59","2020/08/21 15:59:59",500990,bgm_M351,bgm_M351,103301,"2020/08/14 15:59:59",1768,1060,60,50,0,0
10041,"2020/09/14 16:00:00","2020/09/18 16:00:00","2020/09/25 15:59:59","2020/09/28 15:59:59",500650,bgm_M223,bgm_M223,109501,"2020/09/22 15:59:59",1768,1060,60,50,10015,0
10042,"2020/09/01 16:00:00","2020/09/04 16:00:00","2020/09/18 15:59:59","2020/09/22 15:59:59",500016,bgm_M375,bgm_M375,113001,"2020/09/15 15:59:59",1768,1060,60,50,0,0
10043,"2020/10/15 16:00:00","2020/10/19 16:00:00","2020/10/26 15:59:59","2020/10/28 15:59:59",500683,bgm_M237,bgm_M237,110101,"2020/10/23 15:59:59",1600,1060,12,50,10019,0
10044,"2020/10/29 16:00:00","2020/11/02 16:00:00","2020/11/16 15:59:59","2020/11/20 15:59:59",500016,bgm_M380A,bgm_M380A,113201,"2020/11/13 15:59:59",1768,1060,60,50,0,0
