music_id,list_name,font_size,pre_shop_start,shop_start,shop_end,story_id,cost_item_num,sort,kana,ios_url,android_url,dmm_url
30,"最強對吧，對吧？",20.0,"","2018-11-19 15:00:00","",-1,1500,30,"最強對吧，對吧？","","",""
31,"冰海之地",20.0,"","2018-11-19 15:00:00","",-1,1000,31,"冰海之地","","",""
32,"冰天雪地",20.0,"","2018-12-19 15:00:00","",-1,1000,32,"冰天雪地","","",""
33,"涼爽的風",20.0,"","2018-12-19 15:00:00","",-1,1000,33,"涼爽的風","","",""
34,"加爾基諾司",20.0,"","2018-12-19 15:00:00","",-1,1000,34,"加爾基諾司","","",""
35,"危險的假期！海岸邊的美食家公主",20.0,"","2018-12-19 15:00:00","",-1,1000,35,"危險的假期海岸邊的美食家公主","","",""
36,"天塔帕斯",20.0,"","2018-12-19 15:00:00","",-1,1000,36,"天塔帕斯","","",""
37,"充滿笑容的家",20.0,"","2018-12-19 15:00:00","",-1,1500,37,"充滿笑容的家","","",""
38,"人馬座",20.0,"","2018-12-19 15:00:00","",-1,1000,38,"人馬座","","",""
39,"忘却的頌歌",20.0,"","2018-12-19 15:00:00","",-1,1000,39,"忘却的頌歌","","",""
40,"霧奇",20.0,"","2018-12-19 15:00:00","",-1,1000,40,"霧奇","","",""
41,"Ding Dong Holy Night♪",20.0,"","2018-12-19 15:00:00","",-1,1500,41,"Ding Dong Holy Night♪","","",""
42,"險峻枯原",20.0,"","2019-01-18 15:00:00","",-1,1000,42,"險峻枯原","","",""
43,"奧爾獅",20.0,"","2019-01-18 15:00:00","",-1,1000,43,"奧爾獅","","",""
44,"珠希和美冬的無人島0盧幣生活",20.0,"","2019-01-18 15:00:00","",-1,1000,44,"珠希與美冬的無人島0盧幣生活","","",""
45,"島鯨",20.0,"","2019-01-18 15:00:00","",-1,1000,45,"島鯨","","",""
46,"閃亮亮☆Happiness！",18.0,"","2019-01-18 15:00:00","",-1,1500,46,"閃亮亮☆Happiness！","","",""
47,"新的出航",20.0,"","2019-01-18 15:00:00","",-1,1000,47,"新的出航","","",""
48,"阿爾珈提",20.0,"","2019-01-18 15:00:00","",-1,1000,48,"阿爾珈提","","",""
49,"新春破曉之星大危機！",20.0,"","2019-01-18 15:00:00","",-1,1000,49,"新春破曉之星大危機！","","",""
50,"邪餅神鏡餅",20.0,"","2019-01-18 15:00:00","",-1,1000,50,"邪餅神鏡餅","","",""
51,TwinkleStars,20.0,"","2019-01-18 15:00:00","",-1,1500,51,TwinkleStars,"","",""
52,"酷熱沙漠",20.0,"","2019-02-15 15:00:00","",-1,1000,52,"酷熱沙漠","","",""
53,"美杜莎",20.0,"","2019-02-15 15:00:00","",-1,1000,53,"美杜莎","","",""
54,"黑鐵的亡靈（Nightmare）",20.0,"","2019-02-15 15:00:00","",-1,1000,54,"黑鐵的亡靈","","",""
55,"亡靈鎧甲",20.0,"","2019-02-15 15:00:00","",-1,1000,55,"亡靈鎧甲","","",""
56,"Aloofness Code",20.0,"","2019-02-15 15:00:00","",-1,1500,56,"Aloofness Code","","",""
57,"Absolute Secret",20.0,"","2019-02-15 15:00:00","",2008015,1500,57,"Absolute Secret","","",""
58,"水之里歐斯",20.0,"","2019-02-15 15:00:00","",-1,1000,58,"水之里歐斯","","",""
59,"情人節之戰！正中紅心的甜蜜戰鬥",20.0,"","2019-02-15 15:00:00","",-1,1000,59,"情人節之戰！正中紅心的甜蜜戰鬥","","",""
60,"醜陋可愛",20.0,"","2019-02-15 15:00:00","",-1,1000,60,"醜陋可愛","","",""
61,"SUPER CHOCOLATE",20.0,"","2019-02-15 15:00:00","",-1,1500,61,"SUPER CHOCOLATE","","",""
62,"砂海綠洲",20.0,"","2019-03-19 15:00:00","",-1,1000,62,"砂海綠洲","","",""
63,"不可思議的森林",20.0,"","2019-03-19 15:00:00","",-1,1000,63,"不可思議的森林","","",""
64,"托爾披頓",20.0,"","2019-03-19 15:00:00","",-1,1000,64,"托爾披頓","","",""
65,"王都的名偵探　嘆息的追緝者",20.0,"","2019-03-19 15:00:00","",-1,1000,65,"王都的名偵探　嘆息的追緝者","","",""
66,"哀嘆之女神",20.0,"","2019-03-19 15:00:00","",-1,1000,66,"哀嘆之女神","","",""
67,"未解明的心意",20.0,"","2019-03-19 15:00:00","",-1,1500,67,"未解明的心意","","",""
68,"機械莉瑪來襲！王都毀滅前的倒數",20.0,"","2019-04-19 15:00:00","",-1,1000,68,"機械莉瑪來襲！王都毀滅前的倒數","","",""
69,"機械莉瑪",20.0,"","2019-04-19 15:00:00","",-1,1000,69,"機械莉瑪","","",""
70,"機械莉瑪~終焉~",20.0,"","2019-04-19 15:00:00","",-1,1000,70,"機械莉瑪~終焉~","","",""
71,"在阿斯特朗盛開的雙輪之花",20.0,"","2019-04-19 15:00:00","",-1,1000,71,"在阿斯特朗盛開的雙輪之花","","",""
72,"元核‧巨靈",20.0,"","2019-04-19 15:00:00","",-1,1000,72,"元核‧巨靈","","",""
73,"Crossing Destiny",20.0,"","2019-04-19 15:00:00","",-1,1500,73,"Crossing Destiny","","",""
74,"潛入岩峰",20.0,"","2019-05-17 15:00:00","",-1,1000,74,"潛入岩峰","","",""
75,"將軍道中記　白翼的武士",20.0,"","2019-05-17 15:00:00","",-1,1000,75,"將軍道中記　白翼的武士","","",""
76,"惡代官",20.0,"","2019-05-17 15:00:00","",-1,1000,76,"惡代官","","",""
77,"白翼的榮耀",20.0,"","2019-05-17 15:00:00","",-1,1500,77,"白翼的榮耀","","",""
78,"火山山麓",20.0,"","2019-10-01 16:00:00","",-1,1000,78,"火山山麓","","",""
79,"險惡荒地",20.0,"","2019-10-01 16:00:00","",-1,1000,79,"險惡荒地","","",""
80,"怠惰的狂人",20.0,"","2019-10-01 16:00:00","",-1,1000,80,"怠惰的狂人","","",""
81,"鼓聲響動的森林",20.0,"","2019-10-15 16:00:00","",-1,1000,81,"鼓聲響動的森林","","",""
82,"鈴奈的彩虹舞臺！",20.0,"","2019-10-15 16:00:00","",-1,1000,82,"鈴奈的彩虹舞臺！","","",""
83,"雨神大人",20.0,"","2019-10-15 16:00:00","",-1,1000,83,"雨神大人","","",""
84,"踮腳尖的First Kiss",20.0,"","2019-10-15 16:00:00","",-1,1500,84,"踮腳尖的First Kiss","","",""
85,"哥哥爭奪戰！　幫忙靜流",20.0,"","2019-10-15 16:00:00","",-1,1000,85,"哥哥爭奪戰！幫忙靜流","","",""
86,"哥哥爭奪戰！　幫忙惠理子",20.0,"","2019-10-15 16:00:00","",-1,1000,86,"哥哥爭奪戰！幫忙惠理子","","",""
87,"盛夏的真步真步王國　浪花拍岸的靈魂之夏！",20.0,"","2019-10-15 16:00:00","",-1,1000,87,"盛夏的真步真步王國　浪花拍岸的靈魂之夏！","","",""
88,"奄美魔物",20.0,"","2019-10-15 16:00:00","",-1,1000,88,"奄美魔物","","",""
89,"We Are Golden",20.0,"","2019-10-15 16:00:00","",-1,1500,89,"We Are Golden","","",""
90,"空花大旋轉",20.0,"","2019-12-12 16:00:00","",-1,1000,90,"空花大旋轉","","",""
91,"森林的膽小鬼與神聖學院的問題兒童",20.0,"","2019-12-12 16:00:00","",-1,1000,91,"森林的膽小鬼與神聖學院的問題兒童","","",""
92,"劇毒曼德拉草",20.0,"","2019-12-12 16:00:00","",-1,1000,92,"劇毒曼德拉草","","",""
93,"好朋友新感覺",20.0,"","2019-12-12 16:00:00","",-1,1500,93,"好朋友新感覺","","",""
94,"跨越危險之根",20.0,"","2019-12-12 16:00:00","",-1,1000,94,"跨越危險之根","","",""
95,"香織的靈魂式空手道場",20.0,"","2019-12-12 16:00:00","",-1,1000,95,"香織的靈魂式空手道場","","",""
96,"小小勇敢的萬聖節之夜！",20.0,"","2019-12-12 16:00:00","",-1,1000,96,"小小勇敢的萬聖節之夜！","","",""
97,"幻影男爵",20.0,"","2019-12-12 16:00:00","",-1,1000,97,"幻影男爵","","",""
98,"惡作劇狂熱",20.0,"","2019-12-12 16:00:00","",-1,1500,98,"惡作劇狂熱","","",""
99,"泥濘森林的前方",20.0,"","2020-02-18 16:00:00","",-1,1000,94,"泥濘森林的前方","","",""
100,"大激戰！龍人們的接龍競賽",20.0,"","2020-02-18 16:00:00","",-1,1000,95,"大激戰！龍人們的接龍競賽","","",""
101,"龍的探索者們",20.0,"","2020-02-18 16:00:00","",-1,1000,96,"龍的探索者們","","",""
102,"似龍生物",20.0,"","2020-02-18 16:00:00","",-1,1000,97,"似龍生物","","",""
103,"in flames",20.0,"","2020-02-18 16:00:00","",-1,1500,98,"in flames","","",""
104,"獲得全新力量的試煉",20.0,"","2020-02-18 16:00:00","",-1,1000,104,"獲得全新力量的試煉","","",""
105,"禮物大恐慌！　蘭德索爾的聖誕老人們",20.0,"","2020-02-18 16:00:00","",-1,1000,105,"禮物大恐慌！蘭德索爾的聖誕老人們","","",""
106,"復仇者馴鹿",20.0,"","2020-02-18 16:00:00","",-1,1000,106,"復仇者馴鹿","","",""
107,"Call Me Darling！",20.0,"","2020-02-18 16:00:00","",-1,1500,107,"Call Me Darling！","","",""
108,"王都終末決戰",20.0,"","2020-04-20 16:00:00","",2015007,1000,108,"王都終末決戰","","",""
109,"與侍奉皇帝之徒的戰鬥",20.0,"","2020-04-20 16:00:00","",2015007,1000,109,"與侍奉皇帝之徒的戰鬥","","",""
110,"霸瞳皇帝",20.0,"","2020-04-20 16:00:00","",2015007,1000,110,"霸瞳皇帝","","",""
111,"狂奔！　蘭德索爾的公會競速賽",20.0,"","2020-04-20 16:00:00","",-1,1000,111,"狂奔！蘭德索爾的公會競速賽","","",""
112,"山神大人",20.0,"","2020-04-20 16:00:00","",-1,1000,112,"山神大人","","",""
113,"SAI＊KOU起跑衝刺",20.0,"","2020-04-20 16:00:00","",-1,1500,113,"SAI＊KOU起跑衝刺","","",""
114,"遙望著大海",20.0,"","2020-04-20 16:00:00","",-1,1000,114,"遙望著大海","","",""
115,"魔法少女　兩人是Misty&Purely",20.0,"","2020-04-20 16:00:00","",-1,1000,115,"魔法少女　兩人是Misty&Purely","","",""
116,"反逆獸",20.0,"","2020-04-20 16:00:00","",-1,1000,116,"反逆獸","","",""
117,"枝葉流光下的蒙太奇",20.0,"","2020-04-20 16:00:00","",-1,1500,117,"枝葉流光下的蒙太奇","","",""
118,"目標成為偶像！",20.0,"","2020-09-30 16:00:00","",-1,1000,118,"目標成為偶像！","","",""
119,"回憶的足跡",20.0,"","2020-09-30 16:00:00","",-1,1000,119,"回憶的足跡","","",""
120,"公主騎士",20.0,"","2020-06-18 10:00:00","",-1,1000,120,"公主騎士","","",""
121,"恩賜的財團與神聖學院的問題兒童",20.0,"","2020-06-18 10:00:00","",-1,1000,121,"恩賜的財團與神聖學院的問題兒童","","",""
122,"好朋友X",20.0,"","2020-06-18 10:00:00","",-1,1000,122,"好朋友X","","",""
123,"青春翻轉家",20.0,"","2020-06-18 10:00:00","",-1,1500,123,"青春翻轉家","","",""
124,"密林暗處潛伏者",20.0,"","2020-06-18 10:00:00","",-1,1000,124,"密林暗處潛伏者","","",""
125,"Mirage Game",20.0,"","2020-06-18 10:00:00","",2101001,1500,125,"Mirage Game","","",""
126,"Yes！ Precious Harmony！",20.0,"","2020-06-18 10:00:00","",2101014,1500,126,"Yes！Precious Harmony！","","",""
127,"啾啾大恐慌！　保衛起司大作戰！",20.0,"","2020-05-15 15:00:00","",-1,1000,127,"啾啾大恐慌！保衛起司大作戰！","","",""
128,"牧場的四農士　貧窮農場奮鬥記！",20.0,"","2020-05-15 15:00:00","",-1,1000,128,"牧場的四農士　貧窮農場奮鬥記","","",""
129,"忍者首領半藏",20.0,"","2020-05-15 15:00:00","",-1,1000,129,"忍者首領半藏","","",""
130,"Heartful Place",20.0,"","2020-05-15 15:00:00","",-1,1500,130,"Heartful Place","","",""
131,"不可思議之國的璃乃 小小愛麗絲與希望的繪本",20.0,"","2020-06-17 15:00:00","",-1,1000,131,"不可思議之國的璃乃 小小愛麗絲與希望的繪本","","",""
132,"暗黑之王賈巴沃克",20.0,"","2020-06-17 15:00:00","",-1,1000,132,"暗黑之王賈巴沃克","","",""
133,"童話故事就在夢中",20.0,"","2020-06-17 15:00:00","",-1,1500,133,"童話故事就在夢中","","",""
134,"幽靜森林",20.0,"","2020-06-17 15:00:00","",-1,1000,134,"幽靜森林","","",""
135,"七夕劍客旅情譚 天際川流夏之戀",20.0,"","2020-07-15 15:00:00","",-1,1000,135,"七夕劍客旅情譚 天際川流夏之戀","","",""
136,"覺醒‧花心星",20.0,"","2020-07-15 15:00:00","",-1,1000,136,"覺醒‧花心星","","",""
137,"黃昏太平旅路之歌",20.0,"","2020-07-15 15:00:00","",-1,1500,137,"黃昏太平旅路之歌","","",""
