area_id,event_id,area_name,map_type,sheet_id,que_id,start_time,end_time,area_disp,map_id,scroll_width,scroll_height,open_tutorial_id,tutorial_param_1,tutorial_param_2,additional_effect
10013201,10013,"光之裂縫",201,bgm_M215,bgm_M215,"2019/08/01 16:00:00","2019/08/15 15:59:59",1,1,0,0,0,0,0,0
10014101,10014,"塔爾格姆地區",201,bgm_M32,bgm_M32,"2019/08/16 16:00:00","2019/08/23 15:59:59",1,1,0,0,0,0,0,0
10014201,10014,"塔爾格姆地區",201,bgm_M32,bgm_M32,"2019/08/16 16:00:00","2019/08/23 15:59:59",1,0,0,0,0,0,0,0
10015101,10015,"大江戶大街",201,bgm_M223,bgm_M223,"2019/09/03 16:00:00","2019/09/15 15:59:59",1,1,120,0,0,0,0,0
10015201,10015,"大江戶大街",201,bgm_M223,bgm_M223,"2019/09/03 16:00:00","2019/09/15 15:59:59",1,1,0,0,0,0,0,0
10016101,10016,"馬席納地區",201,bgm_M98,bgm_M98_2,"2019/09/17 16:00:00","2019/09/24 15:59:59",1,0,0,0,0,0,0,0
10016201,10016,"馬席納地區",201,bgm_M98,bgm_M98_2,"2019/09/17 16:00:00","2019/09/24 15:59:59",1,0,0,0,0,0,0,0
10017101,10017,"蘭德索爾近郊",201,bgm_M228,bgm_M228,"2019/10/01 16:00:00","2019/10/15 15:59:59",1,1,70,0,0,0,0,0
10017102,10017,"郊外的村莊",201,bgm_M228,bgm_M228,"2019/10/01 16:00:00","2019/10/15 15:59:59",1,2,0,0,0,0,0,0
10017201,10017,"郊外的村莊",201,bgm_M228,bgm_M228,"2019/10/01 16:00:00","2019/10/15 15:59:59",1,1,0,0,0,0,0,0
10018101,10018,"蘭德索爾郊外",201,bgm_M106,bgm_M106,"2019/10/17 16:00:00","2019/10/24 15:59:59",1,0,0,0,0,0,0,0
10018201,10018,"蘭德索爾郊外",201,bgm_M106,bgm_M106,"2019/10/17 16:00:00","2019/10/24 15:59:59",1,0,0,0,0,0,0,0
10019101,10019,"晴雨海灘",201,bgm_M237,bgm_M237,"2019/11/01 16:00:00","2019/11/15 15:59:59",1,1,100,0,0,0,0,12
10019201,10019,"晴雨海灘",201,bgm_M237,bgm_M237,"2019/11/01 16:00:00","2019/11/15 15:59:59",1,0,0,0,0,0,0,0
10020101,10020,"塔帕斯海灘 周邊",201,bgm_M112,bgm_M112,"2019/11/17 16:00:00","2019/11/24 15:59:59",1,0,0,0,0,0,0,0
10020201,10020,"塔帕斯海灘 周邊",201,bgm_M112,bgm_M112,"2019/11/17 16:00:00","2019/11/24 15:59:59",1,0,0,0,0,0,0,0
10021101,10021,"真步真步王國避暑聖地？",201,bgm_M245,bgm_M245_02,"2019/12/02 16:00:00","2019/12/15 15:59:59",1,0,150,0,0,0,0,0
10021201,10021,"真步真步王國避暑聖地？",201,bgm_M245,bgm_M245_02,"2019/12/02 16:00:00","2019/12/15 15:59:59",1,0,0,0,0,0,0,0
10022101,10022,"伊爾席翁的孤島",201,bgm_M121,bgm_M121,"2019/12/17 16:00:00","2019/12/24 15:59:59",1,0,0,0,0,0,0,0
10022201,10022,"伊爾席翁的孤島",201,bgm_M121,bgm_M121,"2019/12/17 16:00:00","2019/12/24 15:59:59",1,0,0,0,0,0,0,0
10023101,10023,"聖德蕾莎女學院",201,bgm_M254,bgm_M254,"2020/01/02 16:00:00","2020/01/16 15:59:59",1,1,70,0,0,0,0,0
10023201,10023,"聖德蕾莎女學院",201,bgm_M254,bgm_M254,"2020/01/02 16:00:00","2020/01/16 15:59:59",1,0,0,0,0,0,0,0
10024101,10024,"王城蘭德索爾",201,bgm_M128,bgm_M128,"2020/01/16 16:00:00","2020/01/23 15:59:59",1,0,0,0,0,0,0,0
10024201,10024,"王城蘭德索爾",201,bgm_M128,bgm_M128,"2020/01/16 16:00:00","2020/01/23 15:59:59",1,0,0,0,0,0,0,0
10025101,10025,"鬼屋附近地區",201,bgm_M265,bgm_M265_Top,"2020/02/04 16:00:00","2020/02/18 15:59:59",1,1,0,0,0,0,0,0
10025102,10025,"鬼魂墓地",201,bgm_M265,bgm_M265_Top,"2020/02/04 16:00:00","2020/02/18 15:59:59",1,2,0,0,1,202,0,0
10025201,10025,"鬼魂墓地",201,bgm_M265,bgm_M265_Top,"2020/02/04 16:00:00","2020/02/18 15:59:59",1,1,0,0,0,0,0,0
10026101,10026,"蘭德索爾郊外",201,bgm_M135,bgm_M135,"2020/02/18 16:00:00","2020/02/25 15:59:59",1,1,0,0,0,0,0,0
10026102,10026,"靈界",201,bgm_M29,bgm_M29,"2020/02/18 16:00:00","2020/02/25 15:59:59",1,2,0,80,1,202,208,0
10026103,10026,"蘭德索爾中央地區",201,bgm_M135,bgm_M135,"2020/02/18 16:00:00","2020/02/25 15:59:59",1,3,0,0,1,202,209,1
10026201,10026,"蘭德索爾郊外",201,bgm_M135,bgm_M135,"2020/02/18 16:00:00","2020/02/25 15:59:59",1,1,0,0,0,0,0,31
10027101,10027,"艾爾皮斯島 開墾營地一帶",201,bgm_M273,bgm_M273,"2020/03/02 16:00:00","2020/03/16 15:59:59",1,0,90,0,0,0,0,0
10027201,10027,"艾爾皮斯島 開墾營地一帶",201,bgm_M273,bgm_M273,"2020/03/02 16:00:00","2020/03/16 15:59:59",1,0,0,0,0,0,0,0
10028101,10028,"蘭德索爾近郊",201,bgm_M162,bgm_M162,"2020/03/16 16:00:00","2020/03/23 15:59:59",1,0,35,0,0,0,0,0
10028201,10028,"蘭德索爾近郊",201,bgm_M162,bgm_M162,"2020/03/16 16:00:00","2020/03/23 15:59:59",1,0,0,0,0,0,0,0
10029101,10029,"王城蘭德索爾",201,bgm_M281,bgm_M281,"2020/04/01 16:00:00","2020/04/15 15:59:59",1,1,0,0,0,0,0,0
10029102,10029,"演唱會舞台廣場",201,bgm_M281,bgm_M281,"2020/04/01 16:00:00","2020/04/15 15:59:59",1,2,0,0,0,0,0,11
10029201,10029,"演唱會舞台廣場",201,bgm_M281,bgm_M281,"2020/04/01 16:00:00","2020/04/15 15:59:59",1,1,0,0,0,0,0,0
10030101,10030,"咲戀育幼院",201,bgm_M171,bgm_M171,"2020/04/15 16:00:00","2020/04/22 15:59:59",1,1,110,0,0,0,0,11
10030201,10030,"王城蘭德索爾",201,bgm_M171,bgm_M171,"2020/04/15 16:00:00","2020/04/22 15:59:59",1,1,0,0,0,0,0,0
10031101,10031,"公會競速賽　1區→2區",201,bgm_M294,bgm_M294,"2020/05/05 16:00:00","2020/05/19 15:59:59",1,1,30,0,0,0,0,0
10031102,10031,"公會競速賽　3區→4區",201,bgm_M294,bgm_M294,"2020/05/05 16:00:00","2020/05/19 15:59:59",1,2,30,0,0,0,0,0
10031201,10031,"公會競速賽　3區→4區",201,bgm_M294,bgm_M294,"2020/05/05 16:00:00","2020/05/19 15:59:59",1,1,0,0,0,0,0,0
10032101,10032,"往神殿的參道",201,bgm_M182,bgm_M182,"2020/05/19 16:00:00","2020/05/26 15:59:59",1,1,1,180,0,0,0,0
10032201,10032,"往神殿的參道",201,bgm_M182,bgm_M182,"2020/05/19 16:00:00","2020/05/26 15:59:59",1,1,0,0,0,0,0,0
10033101,10033,"王城蘭德索爾",201,bgm_M316,bgm_M316,"2020/06/03 16:00:00","2020/06/17 15:59:59",1,1,90,0,0,0,0,0
10033201,10033,"王城蘭德索爾",201,bgm_M316,bgm_M316,"2020/06/03 16:00:00","2020/06/17 15:59:59",1,1,0,0,0,0,0,0
10034101,10034,"王城蘭德索爾",201,bgm_M189,bgm_M189,"2020/06/17 16:00:00","2020/06/24 15:59:59",1,1,0,0,0,0,0,0
10034102,10034,"廚房競技場",201,bgm_M189,bgm_M189,"2020/06/17 16:00:00","2020/06/24 15:59:59",1,2,110,0,0,0,0,0
10034201,10034,"廚房競技場",201,bgm_M189,bgm_M189,"2020/06/17 16:00:00","2020/06/24 15:59:59",1,1,0,0,0,0,0,0
10035101,10035,"蘭德索爾近郊",201,bgm_M330,bgm_M330,"2020/09/30 16:00:00","2020/10/21 15:59:59",1,1,70,0,0,0,0,0
10035201,10035,"蘭德索爾近郊",201,bgm_M330,bgm_M330,"2020/09/30 16:00:00","2020/10/21 15:59:59",1,0,0,0,0,0,0,0
10036101,10036,"繆思小鎮",201,bgm_M341,bgm_M341,"2020/10/12 16:00:00","2020/10/21 15:59:59",1,0,40,0,0,0,0,0
10036201,10036,"繆思小鎮",201,bgm_M341,bgm_M341,"2020/10/12 16:00:00","2020/10/21 15:59:59",1,0,0,0,0,0,0,0
10037101,10037,"王城蘭德索爾",201,bgm_M206,bgm_M206,"2020/08/17 16:00:00","2020/08/24 15:59:59",1,1,115,0,0,0,0,0
10037201,10037,"王城蘭德索爾",201,bgm_M206,bgm_M206,"2020/08/17 16:00:00","2020/08/24 15:59:59",1,1,0,0,0,0,0,0
10038101,10038,"聖德蕾莎女子學院",201,bgm_M343,bgm_M343,"2020/07/02 16:00:00","2020/07/16 15:59:59",1,1,45,0,0,0,0,0
10038201,10038,"聖德蕾莎女子學院",201,bgm_M343,bgm_M343,"2020/07/02 16:00:00","2020/07/16 15:59:59",1,0,0,0,0,0,0,0
10039101,10039,"加托羅斯山",201,bgm_M215,bgm_M215,"2020/07/16 16:00:00","2020/07/23 15:59:59",1,1,110,0,0,0,0,0
10039102,10039,"光之裂縫",201,bgm_M215,bgm_M215,"2020/07/16 16:00:00","2020/07/23 15:59:59",1,2,0,0,1,202,208,11
10039201,10039,"光之裂縫",201,bgm_M215,bgm_M215,"2020/07/16 16:00:00","2020/07/23 15:59:59",1,1,0,0,0,0,0,0
10040101,10040,"伊麗莎白牧場",201,bgm_M351,bgm_M351,"2020/08/03 16:00:00","2020/08/17 15:59:59",1,1,0,0,0,0,0,0
10040102,10040,"王城蘭德索爾",201,bgm_M351,bgm_M351,"2020/08/03 16:00:00","2020/08/17 15:59:59",1,2,0,0,0,0,0,0
10040103,10040,"伊麗莎白牧場",201,bgm_M351,bgm_M351,"2020/08/03 16:00:00","2020/08/17 15:59:59",1,3,0,0,0,0,0,0
10040201,10040,"伊麗莎白牧場",201,bgm_M351,bgm_M351,"2020/08/03 16:00:00","2020/08/17 15:59:59",1,1,0,0,0,0,0,0
10041101,10041,"大江戶町",201,bgm_M223,bgm_M223,"2020/09/18 16:00:00","2020/09/25 15:59:59",1,1,120,0,0,0,0,0
10041201,10041,"大江戶町",201,bgm_M223,bgm_M223,"2020/09/18 16:00:00","2020/09/25 15:59:59",1,1,0,0,0,0,0,0
10042101,10042,"不可思議之國",201,bgm_M375,bgm_M375,"2020/09/04 16:00:00","2020/09/18 15:59:59",1,0,200,0,0,0,0,0
10042201,10042,"不可思議之國",201,bgm_M375,bgm_M375,"2020/09/04 16:00:00","2020/09/18 15:59:59",1,0,100,0,0,0,0,0
10043101,10043,"晴雨海灘",201,bgm_M237,bgm_M237,"2020/10/19 16:00:00","2020/10/26 15:59:59",1,1,100,0,0,0,0,12
10043201,10043,"晴雨海灘",201,bgm_M237,bgm_M237,"2020/10/19 16:00:00","2020/10/26 15:59:59",1,0,0,0,0,0,0,0
10044101,10044,"祈願海岸周圍",201,bgm_M380A,bgm_M380A,"2020/11/02 16:00:00","2020/11/16 15:59:59",1,1,90,0,0,0,0,0
10044102,10044,"繁星降臨的銀河",201,bgm_M380B,bgm_M380B_02,"2020/11/02 16:00:00","2020/11/16 15:59:59",1,2,0,0,0,0,0,0
10044201,10044,"繁星降臨的銀河",201,bgm_M380B,bgm_M380B_02,"2020/11/02 16:00:00","2020/11/16 15:59:59",1,0,0,0,0,0,0,0
