id,event_id,type,description
34,10010,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
35,10010,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
36,10010,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
37,10011,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
38,10011,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
39,10011,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
40,10011,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
41,10011,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
42,10012,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
43,10012,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
44,10012,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
45,10012,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
46,10013,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
47,10013,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
48,10013,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
49,10013,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
50,10013,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
51,10014,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
52,10014,1,"進入活動冒險後，頭目將登場。\n使用頭目券，即可挑戰頭目。\n擊敗頭目將獲得大量的討伐證，所以請盡量挑戰吧。"
53,10014,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
54,10014,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
55,10015,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
56,10015,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
57,10015,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
58,10015,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
59,10016,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
60,10016,1,"進入活動冒險後，頭目將登場。\n使用頭目券，即可挑戰頭目。\n擊敗頭目將獲得大量的討伐證，所以請盡量挑戰吧。"
61,10016,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
62,10016,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
63,10017,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
64,10017,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
65,10017,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
66,10017,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
67,10017,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
68,10017,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
69,10017,4,"挑戰活動任務和BOSS時，有時候會出現信賴度故事。　　　　　　　　　信賴度將會按照對話的內容提升，　　　　　　　　　　　　　　　　　　達到特定的信賴度時可獲得禮物。"
70,10018,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
71,10018,1,"進入活動冒險後，頭目將登場。\n使用頭目券，即可挑戰頭目。\n擊敗頭目將獲得大量的討伐證，所以請盡量挑戰吧。"
72,10018,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
73,10018,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1001901,10019,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1001902,10019,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1001903,10019,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1001904,10019,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1001905,10019,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1001906,10019,4,"挑戰活動任務和BOSS時，有時候會出現信賴度故事。　　　　　　　　　信賴度將會按照對話的內容提升，　　　　　　　　　　　　　　　　　　達到特定的信賴度時可獲得禮物。"
1002001,10020,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1002002,10020,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1002003,10020,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1002004,10020,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1002201,10022,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1002202,10022,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1002203,10022,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1002204,10022,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1002301,10023,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1002302,10023,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1002303,10023,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1002304,10023,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1002305,10023,4,"挑戰活動任務和BOSS時，有時候會進入\n信賴度章節。依照對話的內容將會提升信賴度，\n達到特定的信賴度時可獲得禮物。"
1002306,10023,5,"結束在聖德蕾莎女子學院的短期入學，\n碧返回精靈之森後，\n她收到了3封信。"
1002401,10024,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1002402,10024,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1002403,10024,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1002501,10025,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1002502,10025,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1002503,10025,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1002504,10025,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1002505,10025,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1002506,10025,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1002507,10025,4,"挑戰活動任務和BOSS時，有時候會進入\n信賴度章節。依照對話的內容將會提升信賴度，\n達到特定的信賴度時可獲得禮物。"
1002601,10026,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1002602,10026,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1002603,10026,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1002604,10026,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1002701,10027,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1002702,10027,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1002703,10027,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1002704,10027,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1002705,10027,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1002706,10027,4,"挑戰活動任務和BOSS時，有時候會進入\n信賴度章節。依照對話的內容將會提升信賴度，\n達到特定的信賴度時可獲得禮物。"
1002801,10028,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1002802,10028,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1002803,10028,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1002901,10029,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1002902,10029,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1002903,10029,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1002904,10029,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1002905,10029,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1002906,10029,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1002907,10029,4,"挑戰活動任務和BOSS時，有時候會進入\n信賴度章節。依照對話的內容將會提升信賴度，\n達到特定的信賴度時可獲得禮物。"
1003001,10030,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1003002,10030,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1003003,10030,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1003004,10030,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1003101,10031,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1003102,10031,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1003103,10031,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1003104,10031,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1003105,10031,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1003106,10031,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1003201,10032,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1003202,10032,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1003203,10032,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1003204,10032,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1003301,10033,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1003302,10033,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1003303,10033,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1003304,10033,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1003305,10033,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1003306,10033,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1003307,10033,4,"挑戰活動任務和BOSS時，有時候會進入\n信賴度章節。依照對話的內容將會提升信賴度，\n達到特定的信賴度時可獲得禮物。"
1003401,10034,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1003402,10034,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1003403,10034,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1003404,10034,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1003405,10034,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1003406,10034,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1003501,10035,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1003502,10035,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1003503,10035,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1003504,10035,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1003505,10035,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1003506,10035,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1003601,10036,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1003602,10036,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1003603,10036,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1003604,10036,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1003605,10036,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1003606,10036,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1003701,10037,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1003702,10037,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1003703,10037,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1003704,10037,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1003705,10037,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1003801,10038,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1003802,10038,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1003803,10038,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1003804,10038,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1003805,10038,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1003806,10038,4,"挑戰活動任務和BOSS時，有時候會進入\n信賴度章節。依照對話的內容將會提升信賴度，\n達到特定的信賴度時可獲得禮物。"
1003901,10039,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1003902,10039,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1003903,10039,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1003904,10039,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1003905,10039,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1003906,10039,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1004001,10040,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1004002,10040,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1004003,10040,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1004004,10040,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1004005,10040,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1004006,10040,4,"挑戰活動任務和BOSS時，有時候會進入\n信賴度章節。依照對話的內容將會提升信賴度，\n達到特定的信賴度時可獲得禮物。"
1004101,10041,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1004102,10041,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
1004103,10041,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
1004104,10041,3,"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。"
1004105,10041,3,"在展演模式中，可以重複和SPECIAL的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。"
1004201,10042,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
1004202,10042,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
1004203,10042,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
