id,campaign_category,value,system_id,icon_image,start_time,end_time,level_id,shiori_group_id,duplication_order
44,32,3000.0,102,30,"2019/02/24 05:00:00","2019/03/01 04:59:59",0,0,0
45,42,3000.0,102,40,"2019/02/24 05:00:00","2019/03/01 04:59:59",0,0,0
46,34,2000.0,103,30,"2019/03/01 05:00:00","2019/03/11 04:59:59",0,0,0
47,44,2000.0,103,40,"2019/03/01 05:00:00","2019/03/11 04:59:59",0,0,0
48,151,1500.0,6004,80,"2019/03/06 16:00:00","2019/03/25 15:59:59",0,0,0
49,152,1500.0,6005,80,"2019/03/06 16:00:00","2019/03/25 15:59:59",0,0,0
50,45,2000.0,104,40,"2019/03/11 05:00:00","2019/03/22 04:59:59",0,0,0
51,31,2000.0,101,30,"2019/03/22 05:00:00","2019/03/27 04:59:59",0,0,0
52,41,2000.0,101,40,"2019/03/22 05:00:00","2019/03/27 04:59:59",0,0,0
53,32,2000.0,102,30,"2019/03/27 05:00:00","2019/04/01 04:59:59",0,0,0
54,42,2000.0,102,40,"2019/03/27 05:00:00","2019/04/01 04:59:59",0,0,0
55,34,2000.0,103,30,"2019/04/01 05:00:00","2019/04/11 04:59:59",0,0,0
56,44,2000.0,103,40,"2019/04/01 05:00:00","2019/04/11 04:59:59",0,0,0
57,151,1500.0,6004,80,"2019/04/03 16:00:00","2019/04/17 15:59:59",0,0,0
58,152,1500.0,6005,80,"2019/04/03 16:00:00","2019/04/17 15:59:59",0,0,0
59,45,2000.0,104,40,"2019/04/11 05:00:00","2019/04/21 04:59:59",0,0,0
60,31,2000.0,101,30,"2019/04/21 05:00:00","2019/04/26 04:59:59",0,0,0
61,41,2000.0,101,40,"2019/04/21 05:00:00","2019/04/26 04:59:59",0,0,0
62,32,2000.0,102,30,"2019/04/26 05:00:00","2019/05/01 04:59:59",0,0,0
63,42,2000.0,102,40,"2019/04/26 05:00:00","2019/05/01 04:59:59",0,0,0
64,34,2000.0,103,30,"2019/05/01 05:00:00","2019/05/11 04:59:59",0,0,0
65,44,2000.0,103,40,"2019/05/01 05:00:00","2019/05/11 04:59:59",0,0,0
66,151,1500.0,6004,80,"2019/05/02 16:00:00","2019/05/16 15:59:59",0,0,0
67,152,1500.0,6005,80,"2019/05/02 16:00:00","2019/05/16 15:59:59",0,0,0
68,45,2000.0,104,40,"2019/05/11 05:00:00","2019/05/21 04:59:59",0,0,0
69,31,2000.0,101,30,"2019/05/21 05:00:00","2019/05/27 04:59:59",0,0,0
70,41,2000.0,101,40,"2019/05/21 05:00:00","2019/05/27 04:59:59",0,0,0
71,32,2000.0,102,30,"2019/05/27 05:00:00","2019/06/01 04:59:59",0,0,0
72,42,2000.0,102,40,"2019/05/27 05:00:00","2019/06/01 04:59:59",0,0,0
73,34,2000.0,103,30,"2019/06/01 05:00:00","2019/06/13 04:59:59",0,0,0
74,44,2000.0,103,40,"2019/06/01 05:00:00","2019/06/13 04:59:59",0,0,0
75,151,1500.0,6004,80,"2019/06/03 16:00:00","2019/06/17 15:59:59",0,0,0
76,152,1500.0,6005,80,"2019/06/03 16:00:00","2019/06/17 15:59:59",0,0,0
77,45,2000.0,104,40,"2019/06/13 05:00:00","2019/06/23 04:59:59",0,0,0
78,31,2000.0,101,30,"2019/06/13 05:00:00","2019/06/25 04:59:59",0,0,0
79,41,2000.0,101,40,"2019/06/13 05:00:00","2019/06/25 04:59:59",0,0,0
80,32,2000.0,102,30,"2019/06/25 05:00:00","2019/07/01 04:59:59",0,0,0
81,42,2000.0,102,40,"2019/06/25 05:00:00","2019/07/01 04:59:59",0,0,0
82,34,2000.0,103,30,"2019/07/01 05:00:00","2019/07/13 04:59:59",0,0,0
83,44,2000.0,103,40,"2019/07/01 05:00:00","2019/07/13 04:59:59",0,0,0
84,151,1500.0,6004,80,"2019/07/01 16:00:00","2019/07/15 15:59:59",0,0,0
85,152,1500.0,6005,80,"2019/07/01 16:00:00","2019/07/15 15:59:59",0,0,0
86,45,2000.0,104,40,"2019/07/08 05:00:00","2019/07/22 04:59:59",0,0,0
87,31,2000.0,101,30,"2019/07/13 05:00:00","2019/07/26 04:59:59",0,0,0
88,41,2000.0,101,40,"2019/07/13 05:00:00","2019/07/26 04:59:59",0,0,0
89,151,1500.0,6004,80,"2019/07/17 16:00:00","2019/07/31 15:59:59",0,0,0
90,152,1500.0,6005,80,"2019/07/17 16:00:00","2019/07/31 15:59:59",0,0,0
91,37,2000.0,109,30,"2019/07/22 05:00:00","2019/07/27 04:59:59",0,0,0
92,32,2000.0,102,30,"2019/07/26 05:00:00","2019/08/01 04:59:59",0,0,0
93,42,2000.0,102,40,"2019/07/26 05:00:00","2019/08/01 04:59:59",0,0,0
94,34,3000.0,103,30,"2019/08/01 05:00:00","2019/08/14 04:59:59",0,0,0
95,44,3000.0,103,40,"2019/08/01 05:00:00","2019/08/14 04:59:59",0,0,0
96,151,1500.0,6004,80,"2019/08/01 16:00:00","2019/08/15 15:59:59",0,0,0
97,152,1500.0,6005,80,"2019/08/01 16:00:00","2019/08/15 15:59:59",0,0,0
98,45,2000.0,104,40,"2019/08/08 05:00:00","2019/08/22 04:59:59",0,0,0
99,31,3000.0,101,30,"2019/08/14 05:00:00","2019/08/26 04:59:59",0,0,0
100,41,3000.0,101,40,"2019/08/14 05:00:00","2019/08/26 04:59:59",0,0,0
101,37,2000.0,109,30,"2019/08/22 05:00:00","2019/08/27 04:59:59",0,0,0
102,32,3000.0,102,30,"2019/08/26 05:00:00","2019/09/01 04:59:59",0,0,0
103,42,3000.0,102,40,"2019/08/26 05:00:00","2019/09/01 04:59:59",0,0,0
104,34,2000.0,103,30,"2019/09/01 05:00:00","2019/09/13 04:59:59",0,0,0
105,44,2000.0,103,40,"2019/09/01 05:00:00","2019/09/13 04:59:59",0,0,0
106,151,1500.0,6004,80,"2019/09/03 16:00:00","2019/09/18 15:59:59",0,0,0
107,152,1500.0,6005,80,"2019/09/03 16:00:00","2019/09/18 15:59:59",0,0,0
108,45,2000.0,104,40,"2019/09/05 05:00:00","2019/09/20 04:59:59",0,0,0
109,31,2000.0,101,30,"2019/09/13 05:00:00","2019/09/26 04:59:59",0,0,0
110,41,2000.0,101,40,"2019/09/13 05:00:00","2019/09/26 04:59:59",0,0,0
111,34,2000.0,103,30,"2019/09/20 05:00:00","2019/09/26 04:59:59",0,0,0
112,44,2000.0,103,40,"2019/09/20 05:00:00","2019/09/26 04:59:59",0,0,0
113,37,2000.0,109,30,"2019/09/26 05:00:00","2019/10/01 04:59:59",0,0,0
114,32,2000.0,102,30,"2019/09/26 05:00:00","2019/10/01 04:59:59",0,0,0
115,42,2000.0,102,40,"2019/09/26 05:00:00","2019/10/01 04:59:59",0,0,0
116,34,2000.0,103,30,"2019/10/01 05:00:00","2019/10/13 04:59:59",0,0,0
117,44,2000.0,103,40,"2019/10/01 05:00:00","2019/10/13 04:59:59",0,0,0
118,151,1500.0,6004,80,"2019/10/01 16:00:00","2019/10/15 15:59:59",0,0,0
119,152,1500.0,6005,80,"2019/10/01 16:00:00","2019/10/15 15:59:59",0,0,0
120,45,2000.0,104,40,"2019/10/07 05:00:00","2019/10/20 04:59:59",0,0,0
121,31,2000.0,101,30,"2019/10/13 05:00:00","2019/10/26 04:59:59",0,0,0
122,41,2000.0,101,40,"2019/10/13 05:00:00","2019/10/26 04:59:59",0,0,0
123,251,1500.0,7004,80,"2019/10/17 16:00:00","2019/10/24 15:59:59",0,0,0
124,252,1500.0,7005,80,"2019/10/17 16:00:00","2019/10/24 15:59:59",0,0,0
125,37,2000.0,109,30,"2019/10/22 05:00:00","2019/10/27 04:59:59",0,0,0
126,32,2000.0,102,30,"2019/10/26 05:00:00","2019/11/01 04:59:59",0,0,0
127,42,2000.0,102,40,"2019/10/26 05:00:00","2019/11/01 04:59:59",0,0,0
128,34,2000.0,103,30,"2019/11/01 05:00:00","2019/11/13 04:59:59",0,0,0
129,44,2000.0,103,40,"2019/11/01 05:00:00","2019/11/13 04:59:59",0,0,0
130,151,1500.0,6004,80,"2019/11/01 16:00:00","2019/11/15 15:59:59",0,0,0
131,152,1500.0,6005,80,"2019/11/01 16:00:00","2019/11/15 15:59:59",0,0,0
132,45,2000.0,104,40,"2019/11/07 05:00:00","2019/11/20 04:59:59",0,0,0
133,31,2000.0,101,30,"2019/11/13 05:00:00","2019/11/26 04:59:59",0,0,0
134,41,2000.0,101,40,"2019/11/13 05:00:00","2019/11/26 04:59:59",0,0,0
135,251,1500.0,7004,80,"2019/11/17 16:00:00","2019/11/24 15:59:59",0,0,0
136,252,1500.0,7005,80,"2019/11/17 16:00:00","2019/11/24 15:59:59",0,0,0
137,37,2000.0,109,30,"2019/11/20 05:00:00","2019/11/26 04:59:59",0,0,0
138,32,2000.0,102,30,"2019/11/26 05:00:00","2019/12/01 04:59:59",0,0,0
139,42,2000.0,102,40,"2019/11/26 05:00:00","2019/12/01 04:59:59",0,0,0
140,34,2000.0,103,30,"2019/12/01 05:00:00","2019/12/13 04:59:59",0,0,0
141,44,2000.0,103,40,"2019/12/01 05:00:00","2019/12/13 04:59:59",0,0,0
142,151,1500.0,6004,80,"2019/12/02 16:00:00","2019/12/15 15:59:59",0,0,0
143,152,1500.0,6005,80,"2019/12/02 16:00:00","2019/12/15 15:59:59",0,0,0
144,45,2000.0,104,40,"2019/12/07 05:00:00","2019/12/20 04:59:59",0,0,0
145,31,2000.0,101,30,"2019/12/13 05:00:00","2019/12/26 04:59:59",0,0,0
146,41,2000.0,101,40,"2019/12/13 05:00:00","2019/12/26 04:59:59",0,0,0
147,251,1500.0,7004,80,"2019/12/17 16:00:00","2019/12/24 15:59:59",0,0,0
148,252,1500.0,7005,80,"2019/12/17 16:00:00","2019/12/24 15:59:59",0,0,0
149,37,2000.0,109,30,"2019/12/20 05:00:00","2019/12/26 04:59:59",0,0,0
150,32,2000.0,102,30,"2019/12/26 05:00:00","2020/01/01 04:59:59",0,0,0
151,42,2000.0,102,40,"2019/12/26 05:00:00","2020/01/01 04:59:59",0,0,0
152,34,2000.0,103,30,"2020/01/01 05:00:00","2020/01/10 04:59:59",0,0,0
153,44,2000.0,103,40,"2020/01/01 05:00:00","2020/01/10 04:59:59",0,0,0
154,37,2000.0,109,30,"2020/01/02 05:00:00","2020/01/08 04:59:59",0,0,0
155,38,2000.0,112,30,"2020/01/02 05:00:00","2020/01/08 04:59:59",0,0,0
156,151,1500.0,6004,80,"2020/01/02 16:00:00","2020/01/16 15:59:59",0,0,0
157,152,1500.0,6005,80,"2020/01/02 16:00:00","2020/01/16 15:59:59",0,0,0
158,45,2000.0,104,40,"2020/01/10 05:00:00","2020/01/23 04:59:59",0,0,0
159,31,2000.0,101,30,"2020/01/10 05:00:00","2020/01/23 04:59:59",0,0,0
160,41,2000.0,101,40,"2020/01/10 05:00:00","2020/01/23 04:59:59",0,0,0
161,251,1500.0,7004,80,"2020/01/16 16:00:00","2020/01/23 15:59:59",0,0,0
162,252,1500.0,7005,80,"2020/01/16 16:00:00","2020/01/23 15:59:59",0,0,0
163,34,2000.0,103,30,"2020/01/21 05:00:00","2020/01/26 04:59:59",0,0,0
164,44,2000.0,103,40,"2020/01/21 05:00:00","2020/01/26 04:59:59",0,0,0
165,32,2000.0,102,30,"2020/01/26 05:00:00","2020/02/01 04:59:59",0,0,0
166,42,2000.0,102,40,"2020/01/26 05:00:00","2020/02/01 04:59:59",0,0,0
167,45,2000.0,104,40,"2020/02/01 05:00:00","2020/02/14 04:59:59",0,0,0
168,34,2000.0,103,30,"2020/02/01 05:00:00","2020/02/14 04:59:59",0,0,0
169,44,2000.0,103,40,"2020/02/01 05:00:00","2020/02/14 04:59:59",0,0,0
170,151,1500.0,6004,80,"2020/02/04 16:00:00","2020/02/18 15:59:59",0,0,0
171,152,1500.0,6005,80,"2020/02/04 16:00:00","2020/02/18 15:59:59",0,0,0
172,37,2000.0,109,30,"2020/02/14 05:00:00","2020/02/24 04:59:59",0,0,0
173,38,2000.0,112,30,"2020/02/14 05:00:00","2020/02/24 04:59:59",0,0,0
174,31,3000.0,101,30,"2020/02/14 05:00:00","2020/02/24 04:59:59",0,0,0
175,41,3000.0,101,40,"2020/02/14 05:00:00","2020/02/24 04:59:59",0,0,0
176,251,1500.0,7004,80,"2020/02/18 16:00:00","2020/02/25 15:59:59",0,0,0
177,252,1500.0,7005,80,"2020/02/18 16:00:00","2020/02/25 15:59:59",0,0,0
178,31,2000.0,101,30,"2020/02/24 05:00:00","2020/03/01 04:59:59",0,0,0
179,41,2000.0,101,40,"2020/02/24 05:00:00","2020/03/01 04:59:59",0,0,0
180,32,3000.0,102,30,"2020/02/24 05:00:00","2020/03/01 04:59:59",0,0,0
181,42,3000.0,102,40,"2020/02/24 05:00:00","2020/03/01 04:59:59",0,0,0
182,45,2000.0,104,40,"2020/03/01 05:00:00","2020/03/13 04:59:59",0,0,0
183,34,2000.0,103,30,"2020/03/01 05:00:00","2020/03/15 04:59:59",0,0,0
184,44,2000.0,103,40,"2020/03/01 05:00:00","2020/03/15 04:59:59",0,0,0
185,91,1500.0,101,100,"2020/03/02 05:00:00","2020/03/09 04:59:59",0,0,0
186,92,1500.0,102,100,"2020/03/02 05:00:00","2020/03/09 04:59:59",0,0,0
187,93,1500.0,111,100,"2020/03/02 05:00:00","2020/03/09 04:59:59",0,0,0
188,94,1500.0,109,100,"2020/03/02 05:00:00","2020/03/09 04:59:59",0,0,0
189,95,1500.0,112,100,"2020/03/02 05:00:00","2020/03/09 04:59:59",0,0,0
190,96,1500.0,6004,100,"2020/03/02 05:00:00","2020/03/09 04:59:59",0,0,0
191,97,1500.0,6005,100,"2020/03/02 05:00:00","2020/03/09 04:59:59",0,0,0
192,151,1500.0,6004,80,"2020/03/02 16:00:00","2020/03/16 15:59:59",0,0,0
193,152,1500.0,6005,80,"2020/03/02 16:00:00","2020/03/16 15:59:59",0,0,0
194,31,2000.0,101,30,"2020/03/13 05:00:00","2020/04/01 04:59:59",0,0,0
195,41,2000.0,101,40,"2020/03/13 05:00:00","2020/04/01 04:59:59",0,0,0
196,37,2000.0,109,30,"2020/03/15 05:00:00","2020/03/25 04:59:59",0,0,0
197,38,2000.0,112,30,"2020/03/15 05:00:00","2020/03/25 04:59:59",0,0,0
198,251,1500.0,7004,80,"2020/03/16 16:00:00","2020/03/23 15:59:59",0,0,0
199,252,1500.0,7005,80,"2020/03/16 16:00:00","2020/03/23 15:59:59",0,0,0
200,32,2000.0,102,30,"2020/03/25 05:00:00","2020/04/01 04:59:59",0,0,0
201,42,2000.0,102,40,"2020/03/25 05:00:00","2020/04/01 04:59:59",0,0,0
202,45,2000.0,104,40,"2020/04/01 05:00:00","2020/04/14 04:59:59",0,0,0
203,34,2000.0,103,30,"2020/04/01 05:00:00","2020/04/14 04:59:59",0,0,0
204,44,2000.0,103,40,"2020/04/01 05:00:00","2020/04/14 04:59:59",0,0,0
205,151,1500.0,6004,80,"2020/04/01 16:00:00","2020/04/15 15:59:59",0,0,0
206,152,1500.0,6005,80,"2020/04/01 16:00:00","2020/04/15 15:59:59",0,0,0
207,81,1500.0,101,80,"2020/04/01 05:00:00","2020/05/05 04:59:59",0,0,0
208,82,1500.0,102,80,"2020/04/01 05:00:00","2020/05/05 04:59:59",0,0,0
209,83,1500.0,111,80,"2020/04/01 05:00:00","2020/05/05 04:59:59",0,0,0
210,84,1500.0,109,80,"2020/04/01 05:00:00","2020/05/05 04:59:59",0,0,0
211,85,1500.0,112,80,"2020/04/01 05:00:00","2020/05/05 04:59:59",0,0,0
212,37,2000.0,109,30,"2020/04/14 05:00:00","2020/04/25 04:59:59",0,0,0
213,38,2000.0,112,30,"2020/04/14 05:00:00","2020/04/25 04:59:59",0,0,0
214,31,2000.0,101,30,"2020/04/14 05:00:00","2020/05/01 04:59:59",0,0,0
215,41,2000.0,101,40,"2020/04/14 05:00:00","2020/05/01 04:59:59",0,0,0
216,251,1500.0,7004,80,"2020/04/15 16:00:00","2020/04/22 15:59:59",0,0,0
217,252,1500.0,7005,80,"2020/04/15 16:00:00","2020/04/22 15:59:59",0,0,0
218,32,2000.0,102,30,"2020/04/25 05:00:00","2020/05/01 04:59:59",0,0,0
219,42,2000.0,102,40,"2020/04/25 05:00:00","2020/05/01 04:59:59",0,0,0
220,45,2000.0,104,40,"2020/05/01 05:00:00","2020/05/15 04:59:59",0,0,0
221,34,2000.0,103,30,"2020/05/01 05:00:00","2020/05/15 04:59:59",0,0,0
222,44,2000.0,103,40,"2020/05/01 05:00:00","2020/05/15 04:59:59",0,0,0
223,151,1500.0,6004,80,"2020/05/05 16:00:00","2020/05/19 15:59:59",0,0,0
224,152,1500.0,6005,80,"2020/05/05 16:00:00","2020/05/19 15:59:59",0,0,0
225,37,2000.0,109,30,"2020/05/15 05:00:00","2020/05/25 04:59:59",0,0,0
226,38,2000.0,112,30,"2020/05/15 05:00:00","2020/05/25 04:59:59",0,0,0
227,31,2000.0,101,30,"2020/05/15 05:00:00","2020/06/01 04:59:59",0,0,0
228,41,2000.0,101,40,"2020/05/15 05:00:00","2020/06/01 04:59:59",0,0,0
229,251,1500.0,7004,80,"2020/05/19 16:00:00","2020/05/26 15:59:59",0,0,0
230,252,1500.0,7005,80,"2020/05/19 16:00:00","2020/05/26 15:59:59",0,0,0
231,32,2000.0,102,30,"2020/05/25 05:00:00","2020/06/01 04:59:59",0,0,0
232,42,2000.0,102,40,"2020/05/25 05:00:00","2020/06/01 04:59:59",0,0,0
233,45,2000.0,104,40,"2020/06/01 05:00:00","2020/06/15 04:59:59",0,0,0
234,34,2000.0,103,30,"2020/06/01 05:00:00","2020/06/15 04:59:59",0,0,0
235,44,2000.0,103,40,"2020/06/01 05:00:00","2020/06/15 04:59:59",0,0,0
236,151,1500.0,6004,80,"2020/06/03 16:00:00","2020/06/17 15:59:59",0,0,0
237,152,1500.0,6005,80,"2020/06/03 16:00:00","2020/06/17 15:59:59",0,0,0
238,37,2000.0,109,30,"2020/06/15 05:00:00","2020/06/25 04:59:59",0,0,0
239,38,2000.0,112,30,"2020/06/15 05:00:00","2020/06/25 04:59:59",0,0,0
240,31,2000.0,101,30,"2020/06/15 05:00:00","2020/07/01 04:59:59",0,0,0
241,41,2000.0,101,40,"2020/06/15 05:00:00","2020/07/01 04:59:59",0,0,0
242,251,1500.0,7004,80,"2020/06/17 16:00:00","2020/06/24 15:59:59",0,0,0
243,252,1500.0,7005,80,"2020/06/17 16:00:00","2020/06/24 15:59:59",0,0,0
244,32,2000.0,102,30,"2020/06/25 05:00:00","2020/07/01 04:59:59",0,0,0
245,42,2000.0,102,40,"2020/06/25 05:00:00","2020/07/01 04:59:59",0,0,0
246,31,2000.0,101,30,"2020/07/01 05:00:00","2020/07/11 04:59:59",0,0,0
247,41,2000.0,101,40,"2020/07/01 05:00:00","2020/07/11 04:59:59",0,0,0
248,34,2000.0,103,30,"2020/07/01 05:00:00","2020/07/13 04:59:59",0,0,0
249,44,2000.0,103,40,"2020/07/01 05:00:00","2020/07/13 04:59:59",0,0,0
250,91,1500.0,101,100,"2020/07/01 05:00:00","2020/07/17 04:59:59",0,0,0
251,92,1500.0,102,100,"2020/07/01 05:00:00","2020/07/17 04:59:59",0,0,0
252,93,1500.0,111,100,"2020/07/01 05:00:00","2020/07/17 04:59:59",0,0,0
253,94,1500.0,109,100,"2020/07/01 05:00:00","2020/07/17 04:59:59",0,0,0
254,95,1500.0,112,100,"2020/07/01 05:00:00","2020/07/17 04:59:59",0,0,0
255,96,1500.0,6004,100,"2020/07/02 16:00:00","2020/07/16 15:59:59",0,0,0
256,97,1500.0,6005,100,"2020/07/02 16:00:00","2020/07/16 15:59:59",0,0,0
257,151,1500.0,6004,80,"2020/07/02 16:00:00","2020/07/16 15:59:59",0,0,0
258,152,1500.0,6005,80,"2020/07/02 16:00:00","2020/07/16 15:59:59",0,0,0
259,100,1500.0,8004,100,"2020/07/02 16:00:00","2020/07/17 15:59:59",0,0,0
260,101,1500.0,8005,100,"2020/07/02 16:00:00","2020/07/17 15:59:59",0,0,0
261,37,2000.0,109,30,"2020/07/11 05:00:00","2020/07/17 04:59:59",0,0,0
262,38,2000.0,112,30,"2020/07/11 05:00:00","2020/07/17 04:59:59",0,0,0
263,45,2000.0,104,40,"2020/07/13 05:00:00","2020/07/26 04:59:59",0,0,0
264,251,1500.0,7004,80,"2020/07/16 16:00:00","2020/07/26 15:59:59",0,0,0
265,252,1500.0,7005,80,"2020/07/16 16:00:00","2020/07/26 15:59:59",0,0,0
266,98,1500.0,7004,100,"2020/07/16 16:00:00","2020/07/17 15:59:59",0,0,0
267,99,1500.0,7005,100,"2020/07/16 16:00:00","2020/07/17 15:59:59",0,0,0
268,31,2000.0,101,30,"2020/07/17 05:00:00","2020/07/26 04:59:59",0,0,0
269,41,2000.0,101,40,"2020/07/17 05:00:00","2020/07/26 04:59:59",0,0,0
270,39,2000.0,111,30,"2020/07/17 05:00:00","2020/07/24 04:59:59",0,0,0
271,49,2000.0,111,40,"2020/07/17 05:00:00","2020/07/24 04:59:59",0,0,0
272,37,2000.0,109,30,"2020/07/26 05:00:00","2020/08/01 04:59:59",0,0,0
273,38,2000.0,112,30,"2020/07/26 05:00:00","2020/08/01 04:59:59",0,0,0
274,32,3000.0,102,30,"2020/07/26 05:00:00","2020/08/01 04:59:59",0,0,0
275,42,3000.0,102,40,"2020/07/26 05:00:00","2020/08/01 04:59:59",0,0,0
276,31,3000.0,101,30,"2020/08/01 05:00:00","2020/08/11 04:59:59",0,0,0
277,41,3000.0,101,40,"2020/08/01 05:00:00","2020/08/11 04:59:59",0,0,0
278,34,2000.0,103,30,"2020/08/01 05:00:00","2020/08/13 04:59:59",0,0,0
279,44,2000.0,103,40,"2020/08/01 05:00:00","2020/08/13 04:59:59",0,0,0
280,91,1500.0,101,100,"2020/08/01 05:00:00","2020/08/16 04:59:59",0,0,0
281,92,1500.0,102,100,"2020/08/01 05:00:00","2020/08/16 04:59:59",0,0,0
282,93,1500.0,111,100,"2020/08/01 05:00:00","2020/08/16 04:59:59",0,0,0
283,94,1500.0,109,100,"2020/08/01 05:00:00","2020/08/16 04:59:59",0,0,0
284,95,1500.0,112,100,"2020/08/01 05:00:00","2020/08/16 04:59:59",0,0,0
285,100,1500.0,8004,100,"2020/08/01 05:00:00","2020/08/16 04:59:59",0,0,0
286,101,1500.0,8005,100,"2020/08/01 05:00:00","2020/08/16 04:59:59",0,0,0
287,96,1500.0,6004,100,"2020/08/03 16:00:00","2020/08/16 04:59:59",0,0,0
288,97,1500.0,6005,100,"2020/08/03 16:00:00","2020/08/16 04:59:59",0,0,0
289,39,2000.0,111,30,"2020/08/03 05:00:00","2020/08/11 04:59:59",0,0,0
290,49,2000.0,111,40,"2020/08/03 05:00:00","2020/08/11 04:59:59",0,0,0
291,151,1500.0,6004,80,"2020/08/03 16:00:00","2020/08/17 15:59:59",0,0,0
292,152,1500.0,6005,80,"2020/08/03 16:00:00","2020/08/17 15:59:59",0,0,0
293,37,3000.0,109,30,"2020/08/11 05:00:00","2020/08/17 04:59:59",0,0,0
294,38,3000.0,112,30,"2020/08/11 05:00:00","2020/08/17 04:59:59",0,0,0
295,45,2000.0,104,40,"2020/08/13 05:00:00","2020/08/26 04:59:59",0,0,0
296,251,1500.0,7004,80,"2020/08/17 16:00:00","2020/08/24 15:59:59",0,0,0
297,252,1500.0,7005,80,"2020/08/17 16:00:00","2020/08/24 15:59:59",0,0,0
298,31,3000.0,101,30,"2020/08/17 05:00:00","2020/08/26 04:59:59",0,0,0
299,41,3000.0,101,40,"2020/08/17 05:00:00","2020/08/26 04:59:59",0,0,0
300,37,3000.0,109,30,"2020/08/26 05:00:00","2020/09/01 04:59:59",0,0,0
